# Source ADC	Temp 210.0 mK	PDUT -84.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER3	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 30.25 dB	AttVIQ 12201130093 31.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.3200000e+08	1.4864026e+00	4.7225745e-01
7.3200053e+08	1.4863412e+00	4.7209334e-01
7.3200107e+08	1.4864260e+00	4.7162726e-01
7.3200160e+08	1.4866674e+00	4.7144948e-01
7.3200213e+08	1.4868693e+00	4.7082450e-01
7.3200267e+08	1.4873781e+00	4.7021037e-01
7.3200320e+08	1.4871099e+00	4.7039611e-01
7.3200373e+08	1.4871372e+00	4.6980103e-01
7.3200427e+08	1.4876365e+00	4.6963846e-01
7.3200480e+08	1.4871337e+00	4.6923862e-01
7.3200533e+08	1.4871464e+00	4.6880862e-01
7.3200587e+08	1.4876345e+00	4.6845466e-01
7.3200640e+08	1.4872962e+00	4.6793439e-01
7.3200693e+08	1.4874140e+00	4.6763874e-01
7.3200747e+08	1.4875174e+00	4.6728639e-01
7.3200800e+08	1.4876633e+00	4.6716251e-01
7.3200853e+08	1.4878013e+00	4.6675539e-01
7.3200907e+08	1.4875958e+00	4.6673034e-01
7.3200960e+08	1.4879458e+00	4.6592990e-01
7.3201013e+08	1.4880187e+00	4.6560789e-01
7.3201067e+08	1.4880643e+00	4.6547541e-01
7.3201120e+08	1.4882623e+00	4.6536479e-01
7.3201173e+08	1.4886711e+00	4.6497197e-01
7.3201227e+08	1.4885104e+00	4.6430270e-01
7.3201280e+08	1.4883959e+00	4.6398278e-01
7.3201333e+08	1.4889807e+00	4.6350938e-01
7.3201386e+08	1.4890230e+00	4.6330464e-01
7.3201440e+08	1.4890529e+00	4.6307964e-01
7.3201493e+08	1.4891737e+00	4.6264431e-01
7.3201546e+08	1.4894292e+00	4.6267128e-01
7.3201600e+08	1.4892694e+00	4.6188473e-01
7.3201653e+08	1.4894579e+00	4.6171467e-01
7.3201706e+08	1.4892887e+00	4.6164526e-01
7.3201760e+08	1.4896501e+00	4.6088864e-01
7.3201813e+08	1.4899928e+00	4.6082347e-01
7.3201866e+08	1.4895649e+00	4.6000212e-01
7.3201920e+08	1.4897596e+00	4.5986147e-01
7.3201973e+08	1.4898510e+00	4.5922420e-01
7.3202026e+08	1.4901009e+00	4.5926028e-01
7.3202080e+08	1.4899411e+00	4.5875624e-01
7.3202133e+08	1.4901675e+00	4.5839220e-01
7.3202186e+08	1.4898290e+00	4.5802554e-01
7.3202240e+08	1.4903895e+00	4.5799116e-01
7.3202293e+08	1.4904741e+00	4.5713450e-01
7.3202346e+08	1.4902741e+00	4.5726665e-01
7.3202400e+08	1.4907605e+00	4.5671276e-01
7.3202453e+08	1.4908367e+00	4.5616244e-01
7.3202506e+08	1.4908629e+00	4.5593505e-01
7.3202560e+08	1.4911305e+00	4.5550731e-01
7.3202613e+08	1.4910159e+00	4.5522273e-01
7.3202666e+08	1.4913012e+00	4.5484081e-01
7.3202720e+08	1.4914240e+00	4.5440441e-01
7.3202773e+08	1.4913521e+00	4.5406166e-01
7.3202826e+08	1.4912994e+00	4.5377436e-01
7.3202880e+08	1.4915857e+00	4.5387848e-01
7.3202933e+08	1.4916748e+00	4.5343448e-01
7.3202986e+08	1.4917918e+00	4.5277024e-01
7.3203040e+08	1.4917516e+00	4.5248288e-01
7.3203093e+08	1.4915665e+00	4.5204501e-01
7.3203146e+08	1.4919547e+00	4.5168408e-01
7.3203200e+08	1.4922145e+00	4.5113731e-01
7.3203253e+08	1.4923499e+00	4.5138664e-01
7.3203306e+08	1.4922038e+00	4.5051980e-01
7.3203360e+08	1.4925081e+00	4.4990752e-01
7.3203413e+08	1.4926226e+00	4.5018995e-01
7.3203466e+08	1.4926844e+00	4.4959263e-01
7.3203520e+08	1.4926170e+00	4.4929303e-01
7.3203573e+08	1.4926849e+00	4.4910190e-01
7.3203626e+08	1.4927314e+00	4.4885684e-01
7.3203680e+08	1.4928394e+00	4.4832105e-01
7.3203733e+08	1.4929816e+00	4.4799459e-01
7.3203786e+08	1.4931814e+00	4.4765518e-01
7.3203839e+08	1.4930053e+00	4.4731015e-01
7.3203893e+08	1.4933160e+00	4.4689299e-01
7.3203946e+08	1.4933731e+00	4.4681199e-01
7.3203999e+08	1.4936696e+00	4.4618429e-01
7.3204053e+08	1.4935266e+00	4.4586801e-01
7.3204106e+08	1.4941711e+00	4.4548702e-01
7.3204159e+08	1.4937718e+00	4.4516365e-01
7.3204213e+08	1.4941142e+00	4.4472700e-01
7.3204266e+08	1.4941890e+00	4.4467481e-01
7.3204319e+08	1.4939215e+00	4.4405014e-01
7.3204373e+08	1.4943523e+00	4.4379621e-01
7.3204426e+08	1.4942098e+00	4.4332284e-01
7.3204479e+08	1.4941841e+00	4.4301660e-01
7.3204533e+08	1.4943950e+00	4.4297677e-01
7.3204586e+08	1.4945095e+00	4.4246762e-01
7.3204639e+08	1.4944456e+00	4.4198345e-01
7.3204693e+08	1.4944205e+00	4.4159084e-01
7.3204746e+08	1.4946617e+00	4.4156527e-01
7.3204799e+08	1.4946751e+00	4.4119770e-01
7.3204853e+08	1.4950923e+00	4.4066022e-01
7.3204906e+08	1.4951166e+00	4.4033964e-01
7.3204959e+08	1.4950287e+00	4.3989043e-01
7.3205013e+08	1.4954492e+00	4.3958285e-01
7.3205066e+08	1.4951888e+00	4.3930639e-01
7.3205119e+08	1.4953113e+00	4.3901845e-01
7.3205173e+08	1.4955141e+00	4.3857855e-01
7.3205226e+08	1.4960330e+00	4.3841202e-01
7.3205279e+08	1.4957820e+00	4.3774819e-01
7.3205333e+08	1.4958003e+00	4.3749968e-01
7.3205386e+08	1.4962251e+00	4.3730689e-01
7.3205439e+08	1.4958577e+00	4.3676501e-01
7.3205493e+08	1.4959819e+00	4.3639732e-01
7.3205546e+08	1.4961751e+00	4.3611136e-01
7.3205599e+08	1.4961382e+00	4.3550393e-01
7.3205653e+08	1.4961971e+00	4.3536540e-01
7.3205706e+08	1.4966156e+00	4.3454007e-01
7.3205759e+08	1.4965792e+00	4.3445697e-01
7.3205813e+08	1.4965885e+00	4.3398461e-01
7.3205866e+08	1.4968356e+00	4.3418830e-01
7.3205919e+08	1.4968431e+00	4.3363549e-01
7.3205973e+08	1.4969656e+00	4.3327491e-01
7.3206026e+08	1.4969567e+00	4.3323449e-01
7.3206079e+08	1.4973272e+00	4.3243674e-01
7.3206133e+08	1.4971561e+00	4.3204254e-01
7.3206186e+08	1.4970598e+00	4.3155915e-01
7.3206239e+08	1.4976402e+00	4.3116930e-01
7.3206292e+08	1.4972270e+00	4.3119231e-01
7.3206346e+08	1.4975793e+00	4.3074108e-01
7.3206399e+08	1.4977373e+00	4.3062543e-01
7.3206452e+08	1.4976313e+00	4.3043763e-01
7.3206506e+08	1.4978697e+00	4.2950664e-01
7.3206559e+08	1.4977538e+00	4.2918481e-01
