# Source ADC	Temp 250.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0320000e+08	1.0569136e+00	-1.2281216e+00
7.0320053e+08	1.0567201e+00	-1.2287064e+00
7.0320107e+08	1.0566985e+00	-1.2288894e+00
7.0320160e+08	1.0561699e+00	-1.2286648e+00
7.0320213e+08	1.0559527e+00	-1.2293311e+00
7.0320267e+08	1.0555773e+00	-1.2294951e+00
7.0320320e+08	1.0553119e+00	-1.2296529e+00
7.0320373e+08	1.0549726e+00	-1.2297837e+00
7.0320427e+08	1.0549051e+00	-1.2302959e+00
7.0320480e+08	1.0544339e+00	-1.2303180e+00
7.0320533e+08	1.0542891e+00	-1.2302664e+00
7.0320587e+08	1.0539480e+00	-1.2308032e+00
7.0320640e+08	1.0538515e+00	-1.2307241e+00
7.0320693e+08	1.0538116e+00	-1.2313812e+00
7.0320747e+08	1.0535539e+00	-1.2313489e+00
7.0320800e+08	1.0530441e+00	-1.2316268e+00
7.0320853e+08	1.0528814e+00	-1.2316446e+00
7.0320907e+08	1.0522878e+00	-1.2318118e+00
7.0320960e+08	1.0520978e+00	-1.2322363e+00
7.0321013e+08	1.0519555e+00	-1.2327983e+00
7.0321067e+08	1.0517130e+00	-1.2322861e+00
7.0321120e+08	1.0516083e+00	-1.2331596e+00
7.0321173e+08	1.0512485e+00	-1.2331841e+00
7.0321227e+08	1.0510011e+00	-1.2329689e+00
7.0321280e+08	1.0508260e+00	-1.2337062e+00
7.0321333e+08	1.0505284e+00	-1.2338302e+00
7.0321386e+08	1.0498635e+00	-1.2338937e+00
7.0321440e+08	1.0497686e+00	-1.2344089e+00
7.0321493e+08	1.0495569e+00	-1.2344667e+00
7.0321546e+08	1.0494269e+00	-1.2347511e+00
7.0321600e+08	1.0489303e+00	-1.2350800e+00
7.0321653e+08	1.0490302e+00	-1.2352628e+00
7.0321706e+08	1.0487613e+00	-1.2352952e+00
7.0321760e+08	1.0485313e+00	-1.2356353e+00
7.0321813e+08	1.0482217e+00	-1.2361232e+00
7.0321866e+08	1.0477960e+00	-1.2362573e+00
7.0321920e+08	1.0475525e+00	-1.2364601e+00
7.0321973e+08	1.0470573e+00	-1.2364098e+00
7.0322026e+08	1.0470764e+00	-1.2368700e+00
7.0322080e+08	1.0468065e+00	-1.2372827e+00
7.0322133e+08	1.0463987e+00	-1.2371898e+00
7.0322186e+08	1.0460222e+00	-1.2374374e+00
7.0322240e+08	1.0462404e+00	-1.2379977e+00
7.0322293e+08	1.0457134e+00	-1.2378234e+00
7.0322346e+08	1.0452829e+00	-1.2379699e+00
7.0322400e+08	1.0451877e+00	-1.2384394e+00
7.0322453e+08	1.0449627e+00	-1.2384864e+00
7.0322506e+08	1.0447125e+00	-1.2388602e+00
7.0322560e+08	1.0444437e+00	-1.2392454e+00
7.0322613e+08	1.0441693e+00	-1.2393516e+00
7.0322666e+08	1.0441191e+00	-1.2392693e+00
7.0322720e+08	1.0436608e+00	-1.2398204e+00
7.0322773e+08	1.0432679e+00	-1.2400363e+00
7.0322826e+08	1.0430323e+00	-1.2400120e+00
7.0322880e+08	1.0432325e+00	-1.2405239e+00
7.0322933e+08	1.0425307e+00	-1.2405233e+00
7.0322986e+08	1.0422774e+00	-1.2409736e+00
7.0323040e+08	1.0418312e+00	-1.2408166e+00
7.0323093e+08	1.0420674e+00	-1.2413062e+00
7.0323146e+08	1.0416209e+00	-1.2415004e+00
7.0323200e+08	1.0414425e+00	-1.2416236e+00
7.0323253e+08	1.0405888e+00	-1.2416912e+00
7.0323306e+08	1.0408969e+00	-1.2420623e+00
7.0323360e+08	1.0404470e+00	-1.2423780e+00
7.0323413e+08	1.0402642e+00	-1.2423680e+00
7.0323466e+08	1.0399744e+00	-1.2428433e+00
7.0323520e+08	1.0397130e+00	-1.2430837e+00
7.0323573e+08	1.0393030e+00	-1.2434216e+00
7.0323626e+08	1.0390830e+00	-1.2437387e+00
7.0323680e+08	1.0389132e+00	-1.2435883e+00
7.0323733e+08	1.0383668e+00	-1.2438842e+00
7.0323786e+08	1.0381269e+00	-1.2438856e+00
7.0323839e+08	1.0382757e+00	-1.2442817e+00
7.0323893e+08	1.0378540e+00	-1.2443913e+00
7.0323946e+08	1.0372333e+00	-1.2445423e+00
7.0323999e+08	1.0371133e+00	-1.2449073e+00
7.0324053e+08	1.0370413e+00	-1.2449650e+00
