# Source ADC	Temp 200.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0415000e+08	5.4208309e-01	-1.5192905e+00
7.0415053e+08	5.4168274e-01	-1.5192229e+00
7.0415107e+08	5.4095142e-01	-1.5193696e+00
7.0415160e+08	5.4122157e-01	-1.5196454e+00
7.0415213e+08	5.4075931e-01	-1.5196339e+00
7.0415267e+08	5.4022764e-01	-1.5197551e+00
7.0415320e+08	5.3996046e-01	-1.5201974e+00
7.0415373e+08	5.3974383e-01	-1.5202221e+00
7.0415427e+08	5.3919641e-01	-1.5201778e+00
7.0415480e+08	5.3864526e-01	-1.5200293e+00
7.0415533e+08	5.3871782e-01	-1.5205716e+00
7.0415587e+08	5.3852974e-01	-1.5203591e+00
7.0415640e+08	5.3791199e-01	-1.5208755e+00
7.0415693e+08	5.3769673e-01	-1.5208259e+00
7.0415747e+08	5.3738719e-01	-1.5207794e+00
7.0415800e+08	5.3695971e-01	-1.5212080e+00
7.0415853e+08	5.3691519e-01	-1.5209381e+00
7.0415907e+08	5.3651273e-01	-1.5209077e+00
7.0415960e+08	5.3606561e-01	-1.5215228e+00
7.0416013e+08	5.3565103e-01	-1.5212604e+00
7.0416067e+08	5.3525700e-01	-1.5215277e+00
7.0416120e+08	5.3504095e-01	-1.5217723e+00
7.0416173e+08	5.3481142e-01	-1.5218806e+00
7.0416227e+08	5.3422389e-01	-1.5217882e+00
7.0416280e+08	5.3381509e-01	-1.5219766e+00
7.0416333e+08	5.3406293e-01	-1.5221211e+00
7.0416386e+08	5.3340352e-01	-1.5220981e+00
7.0416440e+08	5.3270648e-01	-1.5220324e+00
7.0416493e+08	5.3299515e-01	-1.5225632e+00
