# Source ADC	Temp 240.0 mK	PDUT -84.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER3	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 30.25 dB	AttVIQ 12201130093 31.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.3125000e+08	1.2849200e+00	8.8604820e-01
7.3125053e+08	1.2851023e+00	8.8568830e-01
7.3125107e+08	1.2853912e+00	8.8531803e-01
7.3125160e+08	1.2856580e+00	8.8492677e-01
7.3125213e+08	1.2858902e+00	8.8447657e-01
7.3125267e+08	1.2861517e+00	8.8477453e-01
7.3125320e+08	1.2861747e+00	8.8388651e-01
7.3125373e+08	1.2862046e+00	8.8358594e-01
7.3125427e+08	1.2864999e+00	8.8371031e-01
7.3125480e+08	1.2866948e+00	8.8310693e-01
7.3125533e+08	1.2871232e+00	8.8310388e-01
7.3125587e+08	1.2873758e+00	8.8234370e-01
7.3125640e+08	1.2875056e+00	8.8212798e-01
7.3125693e+08	1.2877824e+00	8.8200478e-01
7.3125747e+08	1.2877286e+00	8.8126817e-01
7.3125800e+08	1.2880659e+00	8.8154229e-01
7.3125853e+08	1.2880661e+00	8.8074364e-01
7.3125907e+08	1.2883029e+00	8.8071866e-01
7.3125960e+08	1.2884480e+00	8.8043754e-01
7.3126013e+08	1.2889505e+00	8.8015869e-01
7.3126067e+08	1.2888043e+00	8.7999577e-01
7.3126120e+08	1.2890649e+00	8.7940483e-01
7.3126173e+08	1.2891232e+00	8.7911546e-01
7.3126227e+08	1.2892993e+00	8.7875991e-01
7.3126280e+08	1.2896085e+00	8.7859602e-01
7.3126333e+08	1.2896898e+00	8.7827083e-01
7.3126386e+08	1.2899832e+00	8.7782340e-01
7.3126440e+08	1.2902076e+00	8.7796835e-01
7.3126493e+08	1.2908078e+00	8.7761971e-01
7.3126546e+08	1.2908129e+00	8.7709494e-01
7.3126600e+08	1.2911159e+00	8.7689017e-01
7.3126653e+08	1.2910219e+00	8.7639257e-01
7.3126706e+08	1.2912715e+00	8.7605739e-01
7.3126760e+08	1.2915942e+00	8.7579726e-01
7.3126813e+08	1.2921513e+00	8.7570232e-01
7.3126866e+08	1.2917361e+00	8.7533849e-01
7.3126920e+08	1.2919003e+00	8.7480574e-01
7.3126973e+08	1.2926305e+00	8.7444153e-01
7.3127026e+08	1.2924394e+00	8.7441707e-01
7.3127080e+08	1.2926841e+00	8.7411945e-01
7.3127133e+08	1.2930423e+00	8.7372739e-01
7.3127186e+08	1.2931780e+00	8.7312371e-01
7.3127240e+08	1.2930536e+00	8.7298052e-01
7.3127293e+08	1.2935814e+00	8.7273665e-01
7.3127346e+08	1.2937530e+00	8.7251299e-01
7.3127400e+08	1.2941239e+00	8.7235388e-01
7.3127453e+08	1.2940128e+00	8.7173211e-01
7.3127506e+08	1.2940156e+00	8.7177385e-01
7.3127560e+08	1.2948182e+00	8.7141373e-01
7.3127613e+08	1.2944402e+00	8.7105807e-01
7.3127666e+08	1.2951356e+00	8.7047815e-01
7.3127720e+08	1.2950994e+00	8.7018590e-01
7.3127773e+08	1.2953525e+00	8.6991849e-01
7.3127826e+08	1.2954070e+00	8.6966498e-01
7.3127880e+08	1.2958030e+00	8.6917257e-01
7.3127933e+08	1.2960925e+00	8.6935829e-01
7.3127986e+08	1.2960591e+00	8.6876303e-01
7.3128040e+08	1.2965428e+00	8.6857102e-01
7.3128093e+08	1.2962143e+00	8.6833500e-01
7.3128146e+08	1.2968161e+00	8.6771210e-01
7.3128200e+08	1.2968324e+00	8.6738715e-01
7.3128253e+08	1.2970465e+00	8.6710586e-01
7.3128306e+08	1.2972222e+00	8.6722305e-01
7.3128360e+08	1.2975333e+00	8.6666648e-01
7.3128413e+08	1.2977046e+00	8.6633412e-01
7.3128466e+08	1.2981695e+00	8.6601844e-01
7.3128520e+08	1.2980210e+00	8.6551872e-01
7.3128573e+08	1.2983738e+00	8.6576873e-01
7.3128626e+08	1.2984571e+00	8.6506958e-01
7.3128680e+08	1.2985367e+00	8.6466320e-01
7.3128733e+08	1.2985130e+00	8.6456536e-01
7.3128786e+08	1.2991549e+00	8.6417794e-01
7.3128839e+08	1.2991746e+00	8.6406595e-01
7.3128893e+08	1.2993422e+00	8.6347029e-01
7.3128946e+08	1.2994709e+00	8.6317750e-01
7.3128999e+08	1.2998352e+00	8.6284872e-01
7.3129053e+08	1.2997405e+00	8.6266236e-01
7.3129106e+08	1.3003161e+00	8.6242503e-01
7.3129159e+08	1.3003646e+00	8.6168092e-01
7.3129213e+08	1.3007566e+00	8.6184636e-01
7.3129266e+08	1.3006418e+00	8.6170102e-01
7.3129319e+08	1.3009574e+00	8.6135337e-01
7.3129373e+08	1.3009005e+00	8.6111692e-01
7.3129426e+08	1.3014534e+00	8.6029715e-01
7.3129479e+08	1.3016204e+00	8.6041730e-01
