# Source ADC	Temp 220.0 mK	PDUT -84.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER3	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 30.25 dB	AttVIQ 12201130093 31.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.3125000e+08	1.2506816e+00	9.5337399e-01
7.3125053e+08	1.2510464e+00	9.5276262e-01
7.3125107e+08	1.2513876e+00	9.5259482e-01
7.3125160e+08	1.2516843e+00	9.5201657e-01
7.3125213e+08	1.2517561e+00	9.5179255e-01
7.3125267e+08	1.2522678e+00	9.5163209e-01
7.3125320e+08	1.2522714e+00	9.5098472e-01
7.3125373e+08	1.2529264e+00	9.5043630e-01
7.3125427e+08	1.2529765e+00	9.4985799e-01
7.3125480e+08	1.2531027e+00	9.4974023e-01
7.3125533e+08	1.2535406e+00	9.4913973e-01
7.3125587e+08	1.2538576e+00	9.4895684e-01
7.3125640e+08	1.2541574e+00	9.4821193e-01
7.3125693e+08	1.2544986e+00	9.4828205e-01
7.3125747e+08	1.2548354e+00	9.4793929e-01
7.3125800e+08	1.2549085e+00	9.4750837e-01
7.3125853e+08	1.2553321e+00	9.4706824e-01
7.3125907e+08	1.2554601e+00	9.4651092e-01
7.3125960e+08	1.2557253e+00	9.4611044e-01
7.3126013e+08	1.2562689e+00	9.4581324e-01
7.3126067e+08	1.2561597e+00	9.4532635e-01
7.3126120e+08	1.2567803e+00	9.4514247e-01
7.3126173e+08	1.2569001e+00	9.4477258e-01
7.3126227e+08	1.2572548e+00	9.4420726e-01
7.3126280e+08	1.2576541e+00	9.4426330e-01
7.3126333e+08	1.2578033e+00	9.4330894e-01
7.3126386e+08	1.2580948e+00	9.4317086e-01
7.3126440e+08	1.2582993e+00	9.4271505e-01
7.3126493e+08	1.2587863e+00	9.4240698e-01
7.3126546e+08	1.2588001e+00	9.4193645e-01
7.3126600e+08	1.2592222e+00	9.4157512e-01
7.3126653e+08	1.2596085e+00	9.4094721e-01
7.3126706e+08	1.2598549e+00	9.4074111e-01
7.3126760e+08	1.2597444e+00	9.4050045e-01
7.3126813e+08	1.2604470e+00	9.3999200e-01
7.3126866e+08	1.2604245e+00	9.3960638e-01
7.3126920e+08	1.2613827e+00	9.3918349e-01
7.3126973e+08	1.2610249e+00	9.3894451e-01
7.3127026e+08	1.2616495e+00	9.3840755e-01
7.3127080e+08	1.2620320e+00	9.3847977e-01
7.3127133e+08	1.2621146e+00	9.3755555e-01
7.3127186e+08	1.2626537e+00	9.3775672e-01
7.3127240e+08	1.2625308e+00	9.3681265e-01
7.3127293e+08	1.2631907e+00	9.3654692e-01
7.3127346e+08	1.2632885e+00	9.3592991e-01
7.3127400e+08	1.2635490e+00	9.3571753e-01
7.3127453e+08	1.2637799e+00	9.3535842e-01
7.3127506e+08	1.2638400e+00	9.3465379e-01
7.3127560e+08	1.2642403e+00	9.3454158e-01
7.3127613e+08	1.2648295e+00	9.3425815e-01
7.3127666e+08	1.2646917e+00	9.3365096e-01
7.3127720e+08	1.2653628e+00	9.3364026e-01
7.3127773e+08	1.2653356e+00	9.3257806e-01
7.3127826e+08	1.2655810e+00	9.3260156e-01
7.3127880e+08	1.2660003e+00	9.3225462e-01
7.3127933e+08	1.2665308e+00	9.3190641e-01
7.3127986e+08	1.2667214e+00	9.3157375e-01
7.3128040e+08	1.2668154e+00	9.3124963e-01
7.3128093e+08	1.2670872e+00	9.3086507e-01
7.3128146e+08	1.2673773e+00	9.3017945e-01
7.3128200e+08	1.2675200e+00	9.3025855e-01
7.3128253e+08	1.2678793e+00	9.2959401e-01
7.3128306e+08	1.2681788e+00	9.2928385e-01
7.3128360e+08	1.2684585e+00	9.2878216e-01
7.3128413e+08	1.2684356e+00	9.2825076e-01
7.3128466e+08	1.2687347e+00	9.2793027e-01
7.3128520e+08	1.2690165e+00	9.2776021e-01
7.3128573e+08	1.2695935e+00	9.2697059e-01
7.3128626e+08	1.2693293e+00	9.2688251e-01
7.3128680e+08	1.2700180e+00	9.2669771e-01
7.3128733e+08	1.2703151e+00	9.2632602e-01
7.3128786e+08	1.2708896e+00	9.2567785e-01
7.3128839e+08	1.2710367e+00	9.2562631e-01
7.3128893e+08	1.2712014e+00	9.2514189e-01
7.3128946e+08	1.2711387e+00	9.2447903e-01
7.3128999e+08	1.2714096e+00	9.2422504e-01
7.3129053e+08	1.2716674e+00	9.2368645e-01
7.3129106e+08	1.2721364e+00	9.2377123e-01
7.3129159e+08	1.2722810e+00	9.2314505e-01
7.3129213e+08	1.2728532e+00	9.2297659e-01
7.3129266e+08	1.2731037e+00	9.2253314e-01
7.3129319e+08	1.2731809e+00	9.2185912e-01
7.3129373e+08	1.2731707e+00	9.2148056e-01
7.3129426e+08	1.2734553e+00	9.2113161e-01
7.3129479e+08	1.2740069e+00	9.2077632e-01
7.3129533e+08	1.2741105e+00	9.2044325e-01
7.3129586e+08	1.2744992e+00	9.2020977e-01
7.3129639e+08	1.2746253e+00	9.1957058e-01
7.3129693e+08	1.2751897e+00	9.1930027e-01
7.3129746e+08	1.2752572e+00	9.1901074e-01
7.3129799e+08	1.2756169e+00	9.1861414e-01
7.3129853e+08	1.2759956e+00	9.1818117e-01
7.3129906e+08	1.2760197e+00	9.1777153e-01
7.3129959e+08	1.2764821e+00	9.1730693e-01
7.3130013e+08	1.2767006e+00	9.1687528e-01
7.3130066e+08	1.2766059e+00	9.1660631e-01
7.3130119e+08	1.2769343e+00	9.1614607e-01
7.3130173e+08	1.2773458e+00	9.1602814e-01
7.3130226e+08	1.2777603e+00	9.1540465e-01
7.3130279e+08	1.2777338e+00	9.1529789e-01
7.3130333e+08	1.2781346e+00	9.1496660e-01
7.3130386e+08	1.2786279e+00	9.1421586e-01
7.3130439e+08	1.2782874e+00	9.1408221e-01
7.3130493e+08	1.2789640e+00	9.1352928e-01
7.3130546e+08	1.2789818e+00	9.1311609e-01
7.3130599e+08	1.2792100e+00	9.1301481e-01
7.3130653e+08	1.2795833e+00	9.1251660e-01
7.3130706e+08	1.2799505e+00	9.1231165e-01
7.3130759e+08	1.2800057e+00	9.1171576e-01
7.3130813e+08	1.2803911e+00	9.1137371e-01
7.3130866e+08	1.2809266e+00	9.1076465e-01
7.3130919e+08	1.2810592e+00	9.1082710e-01
7.3130973e+08	1.2807878e+00	9.0984373e-01
7.3131026e+08	1.2814715e+00	9.0972144e-01
7.3131079e+08	1.2816631e+00	9.0895078e-01
7.3131133e+08	1.2817973e+00	9.0906140e-01
7.3131186e+08	1.2824817e+00	9.0865584e-01
7.3131239e+08	1.2825276e+00	9.0842773e-01
7.3131292e+08	1.2826305e+00	9.0799763e-01
7.3131346e+08	1.2829592e+00	9.0750310e-01
7.3131399e+08	1.2832595e+00	9.0746332e-01
7.3131452e+08	1.2835462e+00	9.0676210e-01
7.3131506e+08	1.2836471e+00	9.0648138e-01
7.3131559e+08	1.2840557e+00	9.0640217e-01
7.3131612e+08	1.2843462e+00	9.0565564e-01
7.3131666e+08	1.2843865e+00	9.0548820e-01
7.3131719e+08	1.2846484e+00	9.0497959e-01
7.3131772e+08	1.2848707e+00	9.0469905e-01
7.3131826e+08	1.2850151e+00	9.0408076e-01
7.3131879e+08	1.2854271e+00	9.0372936e-01
7.3131932e+08	1.2858983e+00	9.0342443e-01
7.3131986e+08	1.2861610e+00	9.0290943e-01
7.3132039e+08	1.2863587e+00	9.0269963e-01
7.3132092e+08	1.2863356e+00	9.0244136e-01
7.3132146e+08	1.2866291e+00	9.0190211e-01
7.3132199e+08	1.2866685e+00	9.0156785e-01
7.3132252e+08	1.2869928e+00	9.0090369e-01
7.3132306e+08	1.2870519e+00	9.0059285e-01
7.3132359e+08	1.2876526e+00	9.0026844e-01
7.3132412e+08	1.2876384e+00	8.9978601e-01
7.3132466e+08	1.2883127e+00	8.9985786e-01
7.3132519e+08	1.2883773e+00	8.9913214e-01
7.3132572e+08	1.2883645e+00	8.9867667e-01
7.3132626e+08	1.2888581e+00	8.9867767e-01
7.3132679e+08	1.2890505e+00	8.9836793e-01
7.3132732e+08	1.2894666e+00	8.9787305e-01
7.3132786e+08	1.2895136e+00	8.9778304e-01
7.3132839e+08	1.2895949e+00	8.9691656e-01
7.3132892e+08	1.2898093e+00	8.9678665e-01
7.3132946e+08	1.2902463e+00	8.9655133e-01
7.3132999e+08	1.2906165e+00	8.9597373e-01
7.3133052e+08	1.2910353e+00	8.9581208e-01
7.3133106e+08	1.2911652e+00	8.9532608e-01
7.3133159e+08	1.2910204e+00	8.9493102e-01
7.3133212e+08	1.2915699e+00	8.9480974e-01
7.3133266e+08	1.2915089e+00	8.9400564e-01
7.3133319e+08	1.2921238e+00	8.9392910e-01
7.3133372e+08	1.2924640e+00	8.9354806e-01
7.3133426e+08	1.2925479e+00	8.9287764e-01
7.3133479e+08	1.2927566e+00	8.9298919e-01
7.3133532e+08	1.2928575e+00	8.9252357e-01
7.3133586e+08	1.2931043e+00	8.9200220e-01
7.3133639e+08	1.2935394e+00	8.9148469e-01
7.3133692e+08	1.2934390e+00	8.9133978e-01
7.3133746e+08	1.2937662e+00	8.9095511e-01
7.3133799e+08	1.2943618e+00	8.9054039e-01
7.3133852e+08	1.2943724e+00	8.9007256e-01
7.3133905e+08	1.2947305e+00	8.8971357e-01
7.3133959e+08	1.2951122e+00	8.8929305e-01
7.3134012e+08	1.2950098e+00	8.8881053e-01
7.3134065e+08	1.2953501e+00	8.8833452e-01
7.3134119e+08	1.2954210e+00	8.8825406e-01
7.3134172e+08	1.2958178e+00	8.8795342e-01
7.3134225e+08	1.2957948e+00	8.8779623e-01
7.3134279e+08	1.2964763e+00	8.8732924e-01
7.3134332e+08	1.2967638e+00	8.8712584e-01
7.3134385e+08	1.2967997e+00	8.8627752e-01
7.3134439e+08	1.2968857e+00	8.8582783e-01
7.3134492e+08	1.2970341e+00	8.8628565e-01
7.3134545e+08	1.2975492e+00	8.8528946e-01
7.3134599e+08	1.2979962e+00	8.8532928e-01
7.3134652e+08	1.2982498e+00	8.8454898e-01
7.3134705e+08	1.2983105e+00	8.8420950e-01
7.3134759e+08	1.2984126e+00	8.8431887e-01
7.3134812e+08	1.2987868e+00	8.8346334e-01
7.3134865e+08	1.2988784e+00	8.8316324e-01
7.3134919e+08	1.2988444e+00	8.8299867e-01
7.3134972e+08	1.2993620e+00	8.8241627e-01
7.3135025e+08	1.2995522e+00	8.8231724e-01
7.3135079e+08	1.2999813e+00	8.8167502e-01
7.3135132e+08	1.3000849e+00	8.8161310e-01
7.3135185e+08	1.3004026e+00	8.8108617e-01
7.3135239e+08	1.3005032e+00	8.8058405e-01
7.3135292e+08	1.3007757e+00	8.8057402e-01
7.3135345e+08	1.3009232e+00	8.7986725e-01
7.3135399e+08	1.3013973e+00	8.7954277e-01
7.3135452e+08	1.3017083e+00	8.7939083e-01
7.3135505e+08	1.3018017e+00	8.7887828e-01
7.3135559e+08	1.3019218e+00	8.7870889e-01
7.3135612e+08	1.3024031e+00	8.7820956e-01
7.3135665e+08	1.3025323e+00	8.7747045e-01
7.3135719e+08	1.3026637e+00	8.7733864e-01
7.3135772e+08	1.3029502e+00	8.7723132e-01
7.3135825e+08	1.3036008e+00	8.7672826e-01
7.3135879e+08	1.3034671e+00	8.7637794e-01
7.3135932e+08	1.3037710e+00	8.7584965e-01
7.3135985e+08	1.3039187e+00	8.7567126e-01
7.3136039e+08	1.3045206e+00	8.7510182e-01
7.3136092e+08	1.3043925e+00	8.7489674e-01
7.3136145e+08	1.3046225e+00	8.7432384e-01
7.3136199e+08	1.3046242e+00	8.7438424e-01
7.3136252e+08	1.3050978e+00	8.7358485e-01
7.3136305e+08	1.3049788e+00	8.7358189e-01
7.3136358e+08	1.3052784e+00	8.7290654e-01
7.3136412e+08	1.3062809e+00	8.7273348e-01
7.3136465e+08	1.3058442e+00	8.7228709e-01
7.3136518e+08	1.3058655e+00	8.7206252e-01
7.3136572e+08	1.3065037e+00	8.7136242e-01
7.3136625e+08	1.3067048e+00	8.7125068e-01
7.3136678e+08	1.3067502e+00	8.7099930e-01
7.3136732e+08	1.3069558e+00	8.7063991e-01
7.3136785e+08	1.3074192e+00	8.7020550e-01
7.3136838e+08	1.3076312e+00	8.6995170e-01
7.3136892e+08	1.3076956e+00	8.6961334e-01
7.3136945e+08	1.3080120e+00	8.6909442e-01
7.3136998e+08	1.3084206e+00	8.6842319e-01
7.3137052e+08	1.3084810e+00	8.6829939e-01
7.3137105e+08	1.3086162e+00	8.6788034e-01
7.3137158e+08	1.3088068e+00	8.6746527e-01
7.3137212e+08	1.3095378e+00	8.6707041e-01
7.3137265e+08	1.3096870e+00	8.6686680e-01
7.3137318e+08	1.3092046e+00	8.6671134e-01
7.3137372e+08	1.3097643e+00	8.6636186e-01
7.3137425e+08	1.3102157e+00	8.6586637e-01
7.3137478e+08	1.3103636e+00	8.6559151e-01
7.3137532e+08	1.3104470e+00	8.6482561e-01
7.3137585e+08	1.3105964e+00	8.6493255e-01
7.3137638e+08	1.3111670e+00	8.6403657e-01
7.3137692e+08	1.3112136e+00	8.6440815e-01
7.3137745e+08	1.3113131e+00	8.6362654e-01
7.3137798e+08	1.3114237e+00	8.6293931e-01
7.3137852e+08	1.3115862e+00	8.6263690e-01
7.3137905e+08	1.3116949e+00	8.6245149e-01
7.3137958e+08	1.3121329e+00	8.6226349e-01
7.3138012e+08	1.3124131e+00	8.6170348e-01
7.3138065e+08	1.3127486e+00	8.6138310e-01
7.3138118e+08	1.3128938e+00	8.6106932e-01
7.3138172e+08	1.3133327e+00	8.6067674e-01
7.3138225e+08	1.3131424e+00	8.6011384e-01
7.3138278e+08	1.3136291e+00	8.6010872e-01
7.3138332e+08	1.3136731e+00	8.5944829e-01
7.3138385e+08	1.3139366e+00	8.5921835e-01
7.3138438e+08	1.3141895e+00	8.5915455e-01
7.3138492e+08	1.3144769e+00	8.5838035e-01
7.3138545e+08	1.3143734e+00	8.5807822e-01
7.3138598e+08	1.3149850e+00	8.5798340e-01
7.3138652e+08	1.3153573e+00	8.5754599e-01
7.3138705e+08	1.3154026e+00	8.5729466e-01
7.3138758e+08	1.3153525e+00	8.5678129e-01
7.3138811e+08	1.3157801e+00	8.5604605e-01
7.3138865e+08	1.3161700e+00	8.5612975e-01
7.3138918e+08	1.3162373e+00	8.5552679e-01
7.3138971e+08	1.3165416e+00	8.5527818e-01
7.3139025e+08	1.3166739e+00	8.5502766e-01
7.3139078e+08	1.3168461e+00	8.5437527e-01
7.3139131e+08	1.3171649e+00	8.5417623e-01
7.3139185e+08	1.3173522e+00	8.5371497e-01
7.3139238e+08	1.3174981e+00	8.5325414e-01
7.3139291e+08	1.3178769e+00	8.5294897e-01
7.3139345e+08	1.3178221e+00	8.5271408e-01
7.3139398e+08	1.3180223e+00	8.5278868e-01
7.3139451e+08	1.3181731e+00	8.5221204e-01
7.3139505e+08	1.3186798e+00	8.5145285e-01
7.3139558e+08	1.3188908e+00	8.5150661e-01
7.3139611e+08	1.3188562e+00	8.5070246e-01
7.3139665e+08	1.3191290e+00	8.5021226e-01
7.3139718e+08	1.3195364e+00	8.5026433e-01
7.3139771e+08	1.3194985e+00	8.4975178e-01
7.3139825e+08	1.3199111e+00	8.4980169e-01
7.3139878e+08	1.3202667e+00	8.4921510e-01
7.3139931e+08	1.3203033e+00	8.4879046e-01
7.3139985e+08	1.3205356e+00	8.4846638e-01
7.3140038e+08	1.3208069e+00	8.4832354e-01
7.3140091e+08	1.3210193e+00	8.4764382e-01
7.3140145e+08	1.3210795e+00	8.4743546e-01
7.3140198e+08	1.3215852e+00	8.4685972e-01
7.3140251e+08	1.3214229e+00	8.4649072e-01
7.3140305e+08	1.3220188e+00	8.4631210e-01
7.3140358e+08	1.3216969e+00	8.4606873e-01
7.3140411e+08	1.3225044e+00	8.4558302e-01
7.3140465e+08	1.3223691e+00	8.4503081e-01
7.3140518e+08	1.3226764e+00	8.4484767e-01
7.3140571e+08	1.3230781e+00	8.4428035e-01
7.3140625e+08	1.3228966e+00	8.4394295e-01
7.3140678e+08	1.3230577e+00	8.4345829e-01
7.3140731e+08	1.3236676e+00	8.4356704e-01
7.3140785e+08	1.3238590e+00	8.4323407e-01
7.3140838e+08	1.3240195e+00	8.4284091e-01
7.3140891e+08	1.3241426e+00	8.4228621e-01
7.3140945e+08	1.3246755e+00	8.4197830e-01
7.3140998e+08	1.3241240e+00	8.4157666e-01
7.3141051e+08	1.3248414e+00	8.4154423e-01
7.3141105e+08	1.3248936e+00	8.4070053e-01
7.3141158e+08	1.3251888e+00	8.4048970e-01
7.3141211e+08	1.3252607e+00	8.4025309e-01
7.3141264e+08	1.3257314e+00	8.4005903e-01
7.3141318e+08	1.3255917e+00	8.3968183e-01
7.3141371e+08	1.3261004e+00	8.3891374e-01
7.3141424e+08	1.3261494e+00	8.3853480e-01
7.3141478e+08	1.3263209e+00	8.3852565e-01
7.3141531e+08	1.3264866e+00	8.3809047e-01
7.3141584e+08	1.3264349e+00	8.3767079e-01
7.3141638e+08	1.3274509e+00	8.3709841e-01
7.3141691e+08	1.3271019e+00	8.3697831e-01
7.3141744e+08	1.3277901e+00	8.3663626e-01
7.3141798e+08	1.3281580e+00	8.3615117e-01
7.3141851e+08	1.3278000e+00	8.3612537e-01
7.3141904e+08	1.3283650e+00	8.3574791e-01
7.3141958e+08	1.3281492e+00	8.3483511e-01
7.3142011e+08	1.3284154e+00	8.3489044e-01
7.3142064e+08	1.3286942e+00	8.3449745e-01
7.3142118e+08	1.3290344e+00	8.3364482e-01
7.3142171e+08	1.3294383e+00	8.3336014e-01
7.3142224e+08	1.3293245e+00	8.3325374e-01
