# Source ADC	Temp 200.0 mK	PDUT -84.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER3	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 30.25 dB	AttVIQ 12201130093 31.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.3200000e+08	1.4848958e+00	4.8526193e-01
7.3200053e+08	1.4850972e+00	4.8480759e-01
7.3200107e+08	1.4850866e+00	4.8431442e-01
7.3200160e+08	1.4853248e+00	4.8397209e-01
7.3200213e+08	1.4856650e+00	4.8360679e-01
7.3200267e+08	1.4857136e+00	4.8326864e-01
7.3200320e+08	1.4854831e+00	4.8284089e-01
7.3200373e+08	1.4857704e+00	4.8246757e-01
7.3200427e+08	1.4859180e+00	4.8214081e-01
7.3200480e+08	1.4857565e+00	4.8160639e-01
7.3200533e+08	1.4859156e+00	4.8142120e-01
7.3200587e+08	1.4860896e+00	4.8107139e-01
7.3200640e+08	1.4861938e+00	4.8101456e-01
7.3200693e+08	1.4864895e+00	4.8036401e-01
7.3200747e+08	1.4866282e+00	4.7961179e-01
7.3200800e+08	1.4869098e+00	4.7999113e-01
7.3200853e+08	1.4864770e+00	4.7894703e-01
7.3200907e+08	1.4868054e+00	4.7886919e-01
7.3200960e+08	1.4868091e+00	4.7841182e-01
7.3201013e+08	1.4870310e+00	4.7802535e-01
7.3201067e+08	1.4869092e+00	4.7797164e-01
7.3201120e+08	1.4871608e+00	4.7733857e-01
7.3201173e+08	1.4875891e+00	4.7701114e-01
7.3201227e+08	1.4874951e+00	4.7708974e-01
7.3201280e+08	1.4871973e+00	4.7630886e-01
7.3201333e+08	1.4874545e+00	4.7587959e-01
7.3201386e+08	1.4876422e+00	4.7598817e-01
7.3201440e+08	1.4875319e+00	4.7507973e-01
7.3201493e+08	1.4879606e+00	4.7490199e-01
7.3201546e+08	1.4879014e+00	4.7456778e-01
7.3201600e+08	1.4880350e+00	4.7423637e-01
7.3201653e+08	1.4880289e+00	4.7388127e-01
7.3201706e+08	1.4883320e+00	4.7310527e-01
7.3201760e+08	1.4883966e+00	4.7295928e-01
7.3201813e+08	1.4882930e+00	4.7291825e-01
7.3201866e+08	1.4885314e+00	4.7263698e-01
7.3201920e+08	1.4886389e+00	4.7175966e-01
7.3201973e+08	1.4884318e+00	4.7173432e-01
7.3202026e+08	1.4890625e+00	4.7125088e-01
7.3202080e+08	1.4889201e+00	4.7079348e-01
7.3202133e+08	1.4890530e+00	4.7055511e-01
7.3202186e+08	1.4890184e+00	4.7011353e-01
7.3202240e+08	1.4893317e+00	4.7004120e-01
7.3202293e+08	1.4891275e+00	4.6946511e-01
7.3202346e+08	1.4893020e+00	4.6918484e-01
7.3202400e+08	1.4895444e+00	4.6890555e-01
7.3202453e+08	1.4898207e+00	4.6838411e-01
7.3202506e+08	1.4896169e+00	4.6810422e-01
7.3202560e+08	1.4897386e+00	4.6792146e-01
7.3202613e+08	1.4898357e+00	4.6761448e-01
7.3202666e+08	1.4899166e+00	4.6688711e-01
7.3202720e+08	1.4905173e+00	4.6691108e-01
7.3202773e+08	1.4901396e+00	4.6634889e-01
7.3202826e+08	1.4902454e+00	4.6605198e-01
7.3202880e+08	1.4902739e+00	4.6550414e-01
7.3202933e+08	1.4906409e+00	4.6530114e-01
7.3202986e+08	1.4906824e+00	4.6470343e-01
7.3203040e+08	1.4908212e+00	4.6438458e-01
7.3203093e+08	1.4908618e+00	4.6409194e-01
7.3203146e+08	1.4907402e+00	4.6358863e-01
7.3203200e+08	1.4909972e+00	4.6363493e-01
7.3203253e+08	1.4908762e+00	4.6305895e-01
7.3203306e+08	1.4913512e+00	4.6276826e-01
7.3203360e+08	1.4914932e+00	4.6220390e-01
7.3203413e+08	1.4912320e+00	4.6212329e-01
7.3203466e+08	1.4912506e+00	4.6177305e-01
7.3203520e+08	1.4914769e+00	4.6112055e-01
7.3203573e+08	1.4914500e+00	4.6079389e-01
7.3203626e+08	1.4914647e+00	4.6046700e-01
7.3203680e+08	1.4917555e+00	4.6030113e-01
7.3203733e+08	1.4919683e+00	4.5987503e-01
7.3203786e+08	1.4920625e+00	4.5976988e-01
7.3203839e+08	1.4922614e+00	4.5921863e-01
7.3203893e+08	1.4919468e+00	4.5875673e-01
7.3203946e+08	1.4921895e+00	4.5821150e-01
7.3203999e+08	1.4924566e+00	4.5795801e-01
7.3204053e+08	1.4924580e+00	4.5778885e-01
7.3204106e+08	1.4926979e+00	4.5708965e-01
7.3204159e+08	1.4926256e+00	4.5678126e-01
7.3204213e+08	1.4928798e+00	4.5671394e-01
7.3204266e+08	1.4929353e+00	4.5628517e-01
7.3204319e+08	1.4928834e+00	4.5585510e-01
7.3204373e+08	1.4927541e+00	4.5555815e-01
7.3204426e+08	1.4933735e+00	4.5537827e-01
7.3204479e+08	1.4930257e+00	4.5468423e-01
7.3204533e+08	1.4932029e+00	4.5432035e-01
7.3204586e+08	1.4934669e+00	4.5405545e-01
7.3204639e+08	1.4933323e+00	4.5352135e-01
7.3204693e+08	1.4934697e+00	4.5330358e-01
7.3204746e+08	1.4938267e+00	4.5280976e-01
7.3204799e+08	1.4937863e+00	4.5230726e-01
7.3204853e+08	1.4937792e+00	4.5220439e-01
7.3204906e+08	1.4938515e+00	4.5192486e-01
7.3204959e+08	1.4939483e+00	4.5153473e-01
7.3205013e+08	1.4939538e+00	4.5121127e-01
7.3205066e+08	1.4945373e+00	4.5115127e-01
7.3205119e+08	1.4945008e+00	4.5082318e-01
7.3205173e+08	1.4943427e+00	4.5016906e-01
7.3205226e+08	1.4946251e+00	4.4980716e-01
7.3205279e+08	1.4945137e+00	4.4931348e-01
7.3205333e+08	1.4947832e+00	4.4922363e-01
7.3205386e+08	1.4947692e+00	4.4889013e-01
7.3205439e+08	1.4951987e+00	4.4834335e-01
7.3205493e+08	1.4952378e+00	4.4811227e-01
7.3205546e+08	1.4951725e+00	4.4756064e-01
7.3205599e+08	1.4953108e+00	4.4778032e-01
7.3205653e+08	1.4953061e+00	4.4690581e-01
7.3205706e+08	1.4955493e+00	4.4680094e-01
7.3205759e+08	1.4953334e+00	4.4661143e-01
7.3205813e+08	1.4957728e+00	4.4592208e-01
7.3205866e+08	1.4958240e+00	4.4586604e-01
7.3205919e+08	1.4963613e+00	4.4511089e-01
7.3205973e+08	1.4957439e+00	4.4453947e-01
7.3206026e+08	1.4959441e+00	4.4409661e-01
