# Source ADC	Temp 200.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0340000e+08	9.6188480e-01	-1.2962033e+00
7.0340053e+08	9.6141105e-01	-1.2962042e+00
7.0340107e+08	9.6142654e-01	-1.2964539e+00
7.0340160e+08	9.6105617e-01	-1.2966613e+00
7.0340213e+08	9.6098230e-01	-1.2967943e+00
7.0340267e+08	9.6054264e-01	-1.2970118e+00
7.0340320e+08	9.6008321e-01	-1.2972289e+00
7.0340373e+08	9.6008450e-01	-1.2976428e+00
7.0340427e+08	9.5969886e-01	-1.2977553e+00
7.0340480e+08	9.5927119e-01	-1.2982703e+00
7.0340533e+08	9.5936569e-01	-1.2979046e+00
7.0340587e+08	9.5891491e-01	-1.2983170e+00
7.0340640e+08	9.5836822e-01	-1.2983225e+00
7.0340693e+08	9.5841823e-01	-1.2986574e+00
7.0340747e+08	9.5796457e-01	-1.2989510e+00
7.0340800e+08	9.5763061e-01	-1.2988835e+00
7.0340853e+08	9.5768057e-01	-1.2993764e+00
7.0340907e+08	9.5758153e-01	-1.2996523e+00
7.0340960e+08	9.5694874e-01	-1.2996467e+00
7.0341013e+08	9.5664668e-01	-1.3001741e+00
7.0341067e+08	9.5620611e-01	-1.3003304e+00
7.0341120e+08	9.5629848e-01	-1.3003168e+00
7.0341173e+08	9.5568724e-01	-1.3004825e+00
7.0341227e+08	9.5592355e-01	-1.3005827e+00
7.0341280e+08	9.5534856e-01	-1.3010864e+00
7.0341333e+08	9.5531255e-01	-1.3009354e+00
7.0341386e+08	9.5473760e-01	-1.3014687e+00
7.0341440e+08	9.5435410e-01	-1.3013700e+00
7.0341493e+08	9.5420824e-01	-1.3019653e+00
7.0341546e+08	9.5416856e-01	-1.3021568e+00
7.0341600e+08	9.5367330e-01	-1.3022589e+00
7.0341653e+08	9.5377607e-01	-1.3024392e+00
7.0341706e+08	9.5322923e-01	-1.3024598e+00
7.0341760e+08	9.5289305e-01	-1.3027022e+00
7.0341813e+08	9.5265340e-01	-1.3029651e+00
7.0341866e+08	9.5250735e-01	-1.3029893e+00
7.0341920e+08	9.5189499e-01	-1.3035927e+00
7.0341973e+08	9.5190797e-01	-1.3033349e+00
7.0342026e+08	9.5143613e-01	-1.3035462e+00
7.0342080e+08	9.5137418e-01	-1.3040750e+00
7.0342133e+08	9.5095329e-01	-1.3044011e+00
7.0342186e+08	9.5055556e-01	-1.3043416e+00
7.0342240e+08	9.5035672e-01	-1.3045919e+00
7.0342293e+08	9.4992334e-01	-1.3045411e+00
7.0342346e+08	9.4987059e-01	-1.3049785e+00
7.0342400e+08	9.4946980e-01	-1.3050147e+00
7.0342453e+08	9.4952059e-01	-1.3052310e+00
7.0342506e+08	9.4907963e-01	-1.3056688e+00
7.0342560e+08	9.4881689e-01	-1.3058408e+00
7.0342613e+08	9.4864030e-01	-1.3061744e+00
7.0342666e+08	9.4825385e-01	-1.3056944e+00
7.0342720e+08	9.4782927e-01	-1.3060829e+00
7.0342773e+08	9.4785017e-01	-1.3064892e+00
7.0342826e+08	9.4787645e-01	-1.3066338e+00
7.0342880e+08	9.4708576e-01	-1.3068038e+00
7.0342933e+08	9.4656086e-01	-1.3071145e+00
7.0342986e+08	9.4660922e-01	-1.3072666e+00
7.0343040e+08	9.4629916e-01	-1.3076709e+00
7.0343093e+08	9.4608956e-01	-1.3075183e+00
7.0343146e+08	9.4581752e-01	-1.3079166e+00
7.0343200e+08	9.4552990e-01	-1.3079416e+00
7.0343253e+08	9.4504565e-01	-1.3083973e+00
7.0343306e+08	9.4526436e-01	-1.3084784e+00
7.0343360e+08	9.4469471e-01	-1.3089894e+00
7.0343413e+08	9.4431363e-01	-1.3087915e+00
7.0343466e+08	9.4400248e-01	-1.3091742e+00
7.0343520e+08	9.4384796e-01	-1.3094547e+00
7.0343573e+08	9.4364019e-01	-1.3096637e+00
7.0343626e+08	9.4329838e-01	-1.3096879e+00
7.0343680e+08	9.4313396e-01	-1.3097698e+00
7.0343733e+08	9.4297556e-01	-1.3101098e+00
7.0343786e+08	9.4233586e-01	-1.3104131e+00
7.0343839e+08	9.4220669e-01	-1.3104703e+00
7.0343893e+08	9.4215269e-01	-1.3105053e+00
7.0343946e+08	9.4169827e-01	-1.3108173e+00
7.0343999e+08	9.4143088e-01	-1.3108928e+00
7.0344053e+08	9.4104401e-01	-1.3111371e+00
7.0344106e+08	9.4085312e-01	-1.3113516e+00
7.0344159e+08	9.4073929e-01	-1.3115928e+00
7.0344213e+08	9.4047019e-01	-1.3118392e+00
7.0344266e+08	9.3986798e-01	-1.3122132e+00
7.0344319e+08	9.3977601e-01	-1.3121030e+00
7.0344373e+08	9.3952223e-01	-1.3122575e+00
7.0344426e+08	9.3896825e-01	-1.3124858e+00
7.0344479e+08	9.3919298e-01	-1.3125681e+00
7.0344533e+08	9.3849994e-01	-1.3130765e+00
7.0344586e+08	9.3851569e-01	-1.3133333e+00
7.0344639e+08	9.3839796e-01	-1.3134281e+00
7.0344693e+08	9.3805755e-01	-1.3135887e+00
7.0344746e+08	9.3758362e-01	-1.3138631e+00
7.0344799e+08	9.3705392e-01	-1.3138606e+00
7.0344853e+08	9.3703256e-01	-1.3141209e+00
7.0344906e+08	9.3662018e-01	-1.3145353e+00
7.0344959e+08	9.3632324e-01	-1.3142866e+00
7.0345013e+08	9.3624777e-01	-1.3147861e+00
7.0345066e+08	9.3581013e-01	-1.3153017e+00
7.0345119e+08	9.3548466e-01	-1.3152666e+00
7.0345173e+08	9.3531910e-01	-1.3152096e+00
7.0345226e+08	9.3518570e-01	-1.3157343e+00
7.0345279e+08	9.3480144e-01	-1.3157297e+00
7.0345333e+08	9.3474638e-01	-1.3162463e+00
7.0345386e+08	9.3421476e-01	-1.3159385e+00
7.0345439e+08	9.3421185e-01	-1.3163254e+00
7.0345493e+08	9.3364526e-01	-1.3168224e+00
7.0345546e+08	9.3359212e-01	-1.3166480e+00
7.0345599e+08	9.3301895e-01	-1.3171557e+00
7.0345653e+08	9.3305637e-01	-1.3170339e+00
7.0345706e+08	9.3281675e-01	-1.3171047e+00
7.0345759e+08	9.3241796e-01	-1.3177210e+00
7.0345813e+08	9.3195031e-01	-1.3178324e+00
7.0345866e+08	9.3183564e-01	-1.3178690e+00
