# Source ADC	Temp 150.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0415000e+08	5.4315747e-01	-1.5100221e+00
7.0415053e+08	5.4281679e-01	-1.5099241e+00
7.0415107e+08	5.4253824e-01	-1.5106574e+00
7.0415160e+08	5.4208956e-01	-1.5102162e+00
7.0415213e+08	5.4163884e-01	-1.5104331e+00
7.0415267e+08	5.4142143e-01	-1.5107249e+00
7.0415320e+08	5.4129919e-01	-1.5107507e+00
7.0415373e+08	5.4050190e-01	-1.5109335e+00
7.0415427e+08	5.4057211e-01	-1.5114026e+00
7.0415480e+08	5.4017866e-01	-1.5111372e+00
7.0415533e+08	5.3994178e-01	-1.5113080e+00
7.0415587e+08	5.3928042e-01	-1.5111196e+00
7.0415640e+08	5.3947675e-01	-1.5117260e+00
7.0415693e+08	5.3903030e-01	-1.5115883e+00
7.0415747e+08	5.3854915e-01	-1.5119826e+00
7.0415800e+08	5.3835531e-01	-1.5120574e+00
7.0415853e+08	5.3804092e-01	-1.5120795e+00
7.0415907e+08	5.3771608e-01	-1.5120337e+00
7.0415960e+08	5.3725421e-01	-1.5119526e+00
7.0416013e+08	5.3700604e-01	-1.5123725e+00
7.0416067e+08	5.3657639e-01	-1.5122942e+00
7.0416120e+08	5.3623806e-01	-1.5125438e+00
7.0416173e+08	5.3624109e-01	-1.5128368e+00
7.0416227e+08	5.3587981e-01	-1.5128303e+00
7.0416280e+08	5.3570723e-01	-1.5127811e+00
7.0416333e+08	5.3506033e-01	-1.5128769e+00
7.0416386e+08	5.3475821e-01	-1.5132313e+00
7.0416440e+08	5.3442179e-01	-1.5129155e+00
7.0416493e+08	5.3416687e-01	-1.5133250e+00
7.0416546e+08	5.3373080e-01	-1.5132298e+00
7.0416600e+08	5.3362199e-01	-1.5137136e+00
7.0416653e+08	5.3335561e-01	-1.5134612e+00
7.0416706e+08	5.3298842e-01	-1.5135948e+00
7.0416760e+08	5.3257122e-01	-1.5134949e+00
7.0416813e+08	5.3244011e-01	-1.5142097e+00
7.0416866e+08	5.3215892e-01	-1.5141668e+00
7.0416920e+08	5.3165552e-01	-1.5139916e+00
7.0416973e+08	5.3129625e-01	-1.5140742e+00
7.0417026e+08	5.3112381e-01	-1.5142645e+00
7.0417080e+08	5.3034821e-01	-1.5142474e+00
7.0417133e+08	5.3036816e-01	-1.5147311e+00
7.0417186e+08	5.2972834e-01	-1.5148163e+00
7.0417240e+08	5.2992788e-01	-1.5147965e+00
