# Source ADC	Temp 70.0 mK	PDUT -84.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER3	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 30.25 dB	AttVIQ 12201130093 31.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.3240000e+08	1.5153085e+00	2.3799885e-01
7.3240053e+08	1.5151095e+00	2.3710016e-01
7.3240107e+08	1.5151346e+00	2.3743798e-01
7.3240160e+08	1.5148846e+00	2.3675993e-01
7.3240213e+08	1.5152163e+00	2.3614227e-01
7.3240267e+08	1.5149083e+00	2.3635521e-01
7.3240320e+08	1.5152129e+00	2.3565207e-01
7.3240373e+08	1.5151055e+00	2.3537923e-01
7.3240427e+08	1.5153307e+00	2.3521109e-01
7.3240480e+08	1.5151868e+00	2.3476381e-01
7.3240533e+08	1.5152705e+00	2.3422584e-01
7.3240587e+08	1.5153039e+00	2.3382446e-01
7.3240640e+08	1.5155099e+00	2.3325807e-01
7.3240693e+08	1.5154369e+00	2.3306975e-01
7.3240747e+08	1.5156943e+00	2.3279125e-01
7.3240800e+08	1.5155517e+00	2.3229283e-01
7.3240853e+08	1.5156511e+00	2.3219522e-01
7.3240907e+08	1.5155967e+00	2.3142116e-01
7.3240960e+08	1.5159833e+00	2.3126624e-01
7.3241013e+08	1.5152473e+00	2.3084655e-01
7.3241067e+08	1.5155906e+00	2.3056512e-01
7.3241120e+08	1.5158050e+00	2.3023326e-01
7.3241173e+08	1.5158287e+00	2.2996932e-01
7.3241227e+08	1.5158500e+00	2.2928931e-01
7.3241280e+08	1.5160311e+00	2.2903324e-01
