# Source ADC	Temp 110.0 mK	PDUT -84.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER3	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 30.25 dB	AttVIQ 12201130093 31.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.029 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.3240000e+08	1.5273570e+00	2.4006986e-01
7.3240053e+08	1.5270505e+00	2.4009498e-01
7.3240107e+08	1.5274047e+00	2.3976478e-01
7.3240160e+08	1.5270734e+00	2.3924761e-01
7.3240213e+08	1.5272491e+00	2.3900077e-01
7.3240267e+08	1.5271964e+00	2.3852020e-01
7.3240320e+08	1.5273153e+00	2.3808899e-01
7.3240373e+08	1.5275366e+00	2.3775844e-01
7.3240427e+08	1.5274988e+00	2.3738843e-01
7.3240480e+08	1.5276118e+00	2.3705278e-01
7.3240533e+08	1.5278575e+00	2.3647636e-01
7.3240587e+08	1.5278127e+00	2.3633131e-01
7.3240640e+08	1.5280408e+00	2.3581353e-01
7.3240693e+08	1.5279384e+00	2.3544564e-01
7.3240747e+08	1.5279459e+00	2.3512781e-01
7.3240800e+08	1.5276200e+00	2.3486615e-01
7.3240853e+08	1.5281731e+00	2.3458993e-01
7.3240907e+08	1.5276379e+00	2.3392429e-01
7.3240960e+08	1.5278508e+00	2.3354810e-01
7.3241013e+08	1.5282709e+00	2.3313227e-01
7.3241067e+08	1.5278546e+00	2.3309562e-01
7.3241120e+08	1.5282969e+00	2.3284494e-01
7.3241173e+08	1.5282412e+00	2.3227528e-01
7.3241227e+08	1.5282936e+00	2.3184296e-01
7.3241280e+08	1.5283789e+00	2.3153425e-01
7.3241333e+08	1.5283341e+00	2.3121268e-01
7.3241386e+08	1.5282928e+00	2.3070097e-01
7.3241440e+08	1.5283672e+00	2.3048638e-01
7.3241493e+08	1.5285482e+00	2.2992878e-01
7.3241546e+08	1.5282623e+00	2.2970816e-01
7.3241600e+08	1.5284886e+00	2.2929068e-01
7.3241653e+08	1.5284182e+00	2.2898972e-01
7.3241706e+08	1.5285987e+00	2.2853483e-01
7.3241760e+08	1.5285923e+00	2.2858387e-01
7.3241813e+08	1.5288421e+00	2.2785796e-01
7.3241866e+08	1.5284052e+00	2.2755019e-01
7.3241920e+08	1.5288051e+00	2.2685923e-01
7.3241973e+08	1.5285598e+00	2.2673755e-01
7.3242026e+08	1.5287047e+00	2.2651736e-01
7.3242080e+08	1.5288476e+00	2.2598412e-01
7.3242133e+08	1.5294225e+00	2.2566794e-01
7.3242186e+08	1.5291762e+00	2.2517365e-01
7.3242240e+08	1.5289966e+00	2.2484638e-01
7.3242293e+08	1.5289207e+00	2.2483633e-01
7.3242346e+08	1.5288282e+00	2.2434169e-01
7.3242400e+08	1.5289457e+00	2.2381572e-01
7.3242453e+08	1.5293740e+00	2.2338473e-01
7.3242506e+08	1.5292280e+00	2.2305849e-01
7.3242560e+08	1.5289440e+00	2.2288237e-01
7.3242613e+08	1.5291015e+00	2.2242731e-01
7.3242666e+08	1.5292653e+00	2.2210504e-01
7.3242720e+08	1.5295296e+00	2.2164405e-01
7.3242773e+08	1.5295747e+00	2.2138933e-01
7.3242826e+08	1.5293814e+00	2.2094451e-01
7.3242880e+08	1.5292901e+00	2.2052288e-01
7.3242933e+08	1.5291670e+00	2.2000630e-01
7.3242986e+08	1.5297421e+00	2.2003308e-01
7.3243040e+08	1.5294460e+00	2.1940892e-01
7.3243093e+08	1.5293977e+00	2.1917412e-01
7.3243146e+08	1.5297554e+00	2.1871976e-01
7.3243200e+08	1.5298750e+00	2.1845547e-01
7.3243253e+08	1.5299195e+00	2.1805992e-01
7.3243306e+08	1.5299761e+00	2.1757043e-01
7.3243360e+08	1.5295915e+00	2.1724018e-01
7.3243413e+08	1.5296987e+00	2.1688968e-01
7.3243466e+08	1.5297894e+00	2.1658229e-01
7.3243520e+08	1.5298838e+00	2.1590714e-01
7.3243573e+08	1.5300882e+00	2.1587619e-01
7.3243626e+08	1.5299302e+00	2.1537786e-01
7.3243680e+08	1.5296385e+00	2.1517783e-01
7.3243733e+08	1.5299805e+00	2.1467576e-01
7.3243786e+08	1.5300172e+00	2.1407660e-01
7.3243839e+08	1.5298948e+00	2.1380822e-01
7.3243893e+08	1.5303126e+00	2.1335884e-01
7.3243946e+08	1.5301507e+00	2.1295717e-01
7.3243999e+08	1.5304545e+00	2.1255684e-01
7.3244053e+08	1.5301733e+00	2.1237582e-01
7.3244106e+08	1.5303697e+00	2.1181710e-01
7.3244159e+08	1.5302469e+00	2.1180072e-01
7.3244213e+08	1.5302483e+00	2.1129307e-01
7.3244266e+08	1.5300927e+00	2.1073842e-01
7.3244319e+08	1.5301861e+00	2.1055629e-01
7.3244373e+08	1.5303251e+00	2.1047207e-01
7.3244426e+08	1.5303761e+00	2.0980068e-01
7.3244479e+08	1.5305746e+00	2.0930247e-01
7.3244533e+08	1.5303223e+00	2.0916948e-01
7.3244586e+08	1.5306561e+00	2.0904628e-01
7.3244639e+08	1.5302349e+00	2.0833427e-01
7.3244693e+08	1.5305573e+00	2.0806464e-01
7.3244746e+08	1.5304588e+00	2.0746071e-01
7.3244799e+08	1.5307588e+00	2.0748756e-01
7.3244853e+08	1.5306343e+00	2.0705642e-01
7.3244906e+08	1.5308780e+00	2.0666965e-01
7.3244959e+08	1.5307239e+00	2.0605957e-01
7.3245013e+08	1.5307590e+00	2.0610224e-01
7.3245066e+08	1.5308974e+00	2.0564813e-01
7.3245119e+08	1.5305690e+00	2.0494882e-01
7.3245173e+08	1.5305998e+00	2.0466822e-01
7.3245226e+08	1.5308941e+00	2.0433159e-01
7.3245279e+08	1.5309488e+00	2.0380829e-01
7.3245333e+08	1.5306338e+00	2.0343984e-01
7.3245386e+08	1.5310188e+00	2.0322474e-01
7.3245439e+08	1.5306844e+00	2.0300923e-01
7.3245493e+08	1.5310744e+00	2.0261580e-01
7.3245546e+08	1.5310126e+00	2.0198484e-01
7.3245599e+08	1.5313606e+00	2.0188976e-01
7.3245653e+08	1.5315099e+00	2.0148501e-01
7.3245706e+08	1.5314614e+00	2.0082892e-01
7.3245759e+08	1.5312749e+00	2.0088798e-01
7.3245813e+08	1.5316070e+00	2.0039031e-01
7.3245866e+08	1.5309357e+00	1.9977969e-01
7.3245919e+08	1.5315374e+00	1.9959725e-01
7.3245973e+08	1.5313503e+00	1.9957078e-01
7.3246026e+08	1.5312675e+00	1.9905691e-01
7.3246079e+08	1.5315067e+00	1.9884456e-01
7.3246133e+08	1.5314818e+00	1.9819313e-01
7.3246186e+08	1.5314601e+00	1.9793889e-01
7.3246239e+08	1.5313957e+00	1.9732308e-01
7.3246292e+08	1.5314649e+00	1.9712292e-01
7.3246346e+08	1.5316328e+00	1.9696113e-01
7.3246399e+08	1.5318480e+00	1.9660475e-01
7.3246452e+08	1.5316040e+00	1.9581401e-01
7.3246506e+08	1.5319744e+00	1.9586357e-01
7.3246559e+08	1.5319998e+00	1.9511112e-01
7.3246612e+08	1.5318490e+00	1.9495262e-01
7.3246666e+08	1.5317963e+00	1.9452969e-01
7.3246719e+08	1.5318979e+00	1.9426764e-01
7.3246772e+08	1.5315814e+00	1.9357063e-01
7.3246826e+08	1.5315760e+00	1.9313568e-01
7.3246879e+08	1.5321523e+00	1.9303636e-01
7.3246932e+08	1.5319134e+00	1.9273808e-01
7.3246986e+08	1.5320358e+00	1.9228231e-01
7.3247039e+08	1.5319070e+00	1.9225595e-01
7.3247092e+08	1.5320363e+00	1.9170213e-01
7.3247146e+08	1.5322196e+00	1.9095173e-01
7.3247199e+08	1.5321075e+00	1.9151244e-01
7.3247252e+08	1.5318769e+00	1.9042524e-01
7.3247306e+08	1.5319259e+00	1.9003203e-01
7.3247359e+08	1.5322580e+00	1.8968179e-01
7.3247412e+08	1.5321464e+00	1.8956544e-01
7.3247466e+08	1.5320366e+00	1.8923012e-01
7.3247519e+08	1.5322157e+00	1.8881471e-01
7.3247572e+08	1.5323429e+00	1.8837040e-01
7.3247626e+08	1.5322578e+00	1.8799885e-01
7.3247679e+08	1.5325777e+00	1.8768650e-01
7.3247732e+08	1.5323496e+00	1.8732153e-01
7.3247786e+08	1.5324447e+00	1.8693637e-01
7.3247839e+08	1.5326969e+00	1.8670050e-01
7.3247892e+08	1.5325603e+00	1.8616082e-01
7.3247946e+08	1.5323814e+00	1.8567542e-01
7.3247999e+08	1.5324569e+00	1.8529929e-01
7.3248052e+08	1.5327305e+00	1.8531563e-01
7.3248106e+08	1.5328323e+00	1.8462332e-01
7.3248159e+08	1.5325682e+00	1.8452590e-01
7.3248212e+08	1.5326634e+00	1.8413120e-01
7.3248266e+08	1.5323601e+00	1.8369789e-01
7.3248319e+08	1.5326432e+00	1.8327813e-01
7.3248372e+08	1.5327426e+00	1.8309475e-01
7.3248426e+08	1.5328634e+00	1.8259834e-01
7.3248479e+08	1.5326585e+00	1.8248497e-01
7.3248532e+08	1.5328431e+00	1.8196852e-01
7.3248586e+08	1.5328820e+00	1.8156644e-01
7.3248639e+08	1.5326989e+00	1.8147641e-01
7.3248692e+08	1.5329081e+00	1.8069867e-01
7.3248746e+08	1.5329491e+00	1.8044712e-01
7.3248799e+08	1.5331719e+00	1.8008588e-01
7.3248852e+08	1.5330737e+00	1.7976519e-01
7.3248905e+08	1.5329950e+00	1.7937267e-01
7.3248959e+08	1.5330459e+00	1.7864344e-01
7.3249012e+08	1.5329576e+00	1.7870277e-01
7.3249065e+08	1.5331901e+00	1.7821150e-01
7.3249119e+08	1.5331032e+00	1.7805299e-01
7.3249172e+08	1.5335270e+00	1.7770016e-01
7.3249225e+08	1.5331456e+00	1.7709024e-01
7.3249279e+08	1.5331587e+00	1.7689255e-01
7.3249332e+08	1.5329768e+00	1.7636460e-01
7.3249385e+08	1.5331684e+00	1.7621713e-01
7.3249439e+08	1.5331456e+00	1.7590701e-01
7.3249492e+08	1.5331178e+00	1.7530122e-01
7.3249545e+08	1.5329526e+00	1.7500344e-01
7.3249599e+08	1.5331484e+00	1.7485358e-01
7.3249652e+08	1.5335899e+00	1.7432812e-01
7.3249705e+08	1.5333879e+00	1.7398013e-01
7.3249759e+08	1.5336776e+00	1.7345161e-01
7.3249812e+08	1.5334970e+00	1.7306466e-01
7.3249865e+08	1.5335164e+00	1.7292350e-01
7.3249919e+08	1.5333852e+00	1.7259586e-01
7.3249972e+08	1.5334469e+00	1.7216205e-01
7.3250025e+08	1.5335517e+00	1.7169227e-01
7.3250079e+08	1.5335736e+00	1.7139149e-01
7.3250132e+08	1.5337970e+00	1.7132510e-01
7.3250185e+08	1.5335679e+00	1.7055676e-01
7.3250239e+08	1.5336225e+00	1.7026205e-01
7.3250292e+08	1.5336666e+00	1.6985642e-01
7.3250345e+08	1.5339136e+00	1.6968229e-01
7.3250399e+08	1.5335355e+00	1.6934185e-01
7.3250452e+08	1.5338226e+00	1.6866582e-01
7.3250505e+08	1.5335418e+00	1.6854318e-01
7.3250559e+08	1.5338569e+00	1.6793726e-01
7.3250612e+08	1.5340036e+00	1.6788796e-01
7.3250665e+08	1.5340553e+00	1.6727797e-01
7.3250719e+08	1.5340054e+00	1.6689516e-01
7.3250772e+08	1.5337246e+00	1.6641789e-01
7.3250825e+08	1.5339391e+00	1.6633964e-01
7.3250879e+08	1.5340619e+00	1.6618407e-01
7.3250932e+08	1.5336587e+00	1.6567882e-01
7.3250985e+08	1.5339556e+00	1.6542050e-01
7.3251039e+08	1.5338973e+00	1.6466438e-01
7.3251092e+08	1.5340861e+00	1.6438889e-01
7.3251145e+08	1.5337927e+00	1.6420720e-01
7.3251199e+08	1.5338719e+00	1.6367900e-01
7.3251252e+08	1.5344125e+00	1.6349709e-01
7.3251305e+08	1.5343284e+00	1.6305678e-01
7.3251358e+08	1.5341137e+00	1.6283890e-01
7.3251412e+08	1.5343246e+00	1.6236165e-01
7.3251465e+08	1.5343286e+00	1.6213073e-01
7.3251518e+08	1.5342472e+00	1.6180455e-01
7.3251572e+08	1.5344976e+00	1.6137034e-01
7.3251625e+08	1.5343090e+00	1.6082000e-01
7.3251678e+08	1.5342012e+00	1.6073632e-01
