# Source ADC	Temp 150.0 mK	PDUT -84.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER3	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 30.25 dB	AttVIQ 12201130093 31.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.029 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.3240000e+08	1.5364449e+00	2.3757888e-01
7.3240053e+08	1.5365651e+00	2.3697987e-01
7.3240107e+08	1.5368316e+00	2.3680358e-01
7.3240160e+08	1.5367958e+00	2.3642986e-01
7.3240213e+08	1.5368766e+00	2.3597173e-01
7.3240267e+08	1.5366755e+00	2.3608787e-01
7.3240320e+08	1.5368412e+00	2.3548756e-01
7.3240373e+08	1.5368328e+00	2.3483202e-01
7.3240427e+08	1.5366809e+00	2.3463645e-01
7.3240480e+08	1.5368818e+00	2.3421007e-01
7.3240533e+08	1.5371347e+00	2.3393083e-01
7.3240587e+08	1.5368996e+00	2.3363227e-01
7.3240640e+08	1.5370060e+00	2.3314960e-01
7.3240693e+08	1.5371656e+00	2.3282757e-01
7.3240747e+08	1.5369287e+00	2.3223569e-01
7.3240800e+08	1.5371523e+00	2.3224025e-01
7.3240853e+08	1.5370067e+00	2.3181152e-01
7.3240907e+08	1.5369870e+00	2.3136068e-01
7.3240960e+08	1.5371944e+00	2.3101908e-01
7.3241013e+08	1.5372462e+00	2.3078476e-01
7.3241067e+08	1.5373163e+00	2.3043383e-01
7.3241120e+08	1.5375151e+00	2.2998549e-01
7.3241173e+08	1.5374719e+00	2.2945094e-01
7.3241227e+08	1.5377090e+00	2.2927763e-01
7.3241280e+08	1.5372792e+00	2.2860159e-01
7.3241333e+08	1.5372182e+00	2.2847313e-01
7.3241386e+08	1.5376567e+00	2.2801273e-01
7.3241440e+08	1.5376525e+00	2.2786122e-01
7.3241493e+08	1.5378863e+00	2.2718053e-01
7.3241546e+08	1.5375106e+00	2.2695517e-01
7.3241600e+08	1.5377981e+00	2.2647035e-01
7.3241653e+08	1.5379965e+00	2.2629337e-01
7.3241706e+08	1.5379299e+00	2.2567267e-01
7.3241760e+08	1.5376773e+00	2.2540895e-01
7.3241813e+08	1.5380245e+00	2.2532557e-01
7.3241866e+08	1.5380786e+00	2.2474390e-01
7.3241920e+08	1.5382184e+00	2.2442399e-01
7.3241973e+08	1.5380894e+00	2.2395698e-01
7.3242026e+08	1.5378565e+00	2.2360217e-01
7.3242080e+08	1.5383539e+00	2.2302022e-01
7.3242133e+08	1.5381897e+00	2.2266032e-01
7.3242186e+08	1.5383758e+00	2.2222639e-01
7.3242240e+08	1.5379717e+00	2.2223661e-01
7.3242293e+08	1.5383857e+00	2.2166506e-01
7.3242346e+08	1.5381044e+00	2.2140009e-01
7.3242400e+08	1.5381275e+00	2.2081971e-01
7.3242453e+08	1.5383787e+00	2.2066713e-01
7.3242506e+08	1.5382187e+00	2.2052271e-01
7.3242560e+08	1.5385093e+00	2.2006828e-01
7.3242613e+08	1.5380267e+00	2.1996694e-01
7.3242666e+08	1.5383322e+00	2.1937442e-01
7.3242720e+08	1.5383986e+00	2.1896220e-01
7.3242773e+08	1.5385078e+00	2.1836225e-01
7.3242826e+08	1.5388816e+00	2.1826803e-01
7.3242880e+08	1.5387125e+00	2.1791149e-01
7.3242933e+08	1.5386703e+00	2.1754488e-01
7.3242986e+08	1.5384976e+00	2.1710548e-01
7.3243040e+08	1.5387220e+00	2.1691642e-01
7.3243093e+08	1.5387387e+00	2.1610081e-01
7.3243146e+08	1.5387977e+00	2.1604695e-01
7.3243200e+08	1.5389059e+00	2.1556755e-01
7.3243253e+08	1.5386934e+00	2.1537750e-01
7.3243306e+08	1.5392971e+00	2.1508919e-01
7.3243360e+08	1.5387513e+00	2.1443708e-01
7.3243413e+08	1.5389462e+00	2.1417567e-01
7.3243466e+08	1.5389215e+00	2.1382890e-01
7.3243520e+08	1.5391675e+00	2.1345593e-01
7.3243573e+08	1.5392355e+00	2.1303160e-01
7.3243626e+08	1.5392937e+00	2.1273075e-01
7.3243680e+08	1.5394595e+00	2.1230131e-01
7.3243733e+08	1.5389263e+00	2.1180539e-01
7.3243786e+08	1.5392009e+00	2.1168069e-01
7.3243839e+08	1.5393020e+00	2.1151259e-01
7.3243893e+08	1.5390822e+00	2.1095534e-01
7.3243946e+08	1.5391495e+00	2.1077144e-01
7.3243999e+08	1.5396114e+00	2.1013618e-01
7.3244053e+08	1.5397056e+00	2.0983421e-01
7.3244106e+08	1.5393921e+00	2.0939044e-01
7.3244159e+08	1.5397482e+00	2.0898048e-01
7.3244213e+08	1.5395387e+00	2.0879301e-01
7.3244266e+08	1.5395350e+00	2.0834669e-01
7.3244319e+08	1.5396791e+00	2.0822971e-01
7.3244373e+08	1.5393621e+00	2.0769399e-01
7.3244426e+08	1.5395467e+00	2.0735623e-01
7.3244479e+08	1.5399682e+00	2.0707257e-01
7.3244533e+08	1.5397707e+00	2.0656626e-01
7.3244586e+08	1.5397280e+00	2.0621249e-01
7.3244639e+08	1.5398331e+00	2.0589076e-01
7.3244693e+08	1.5396747e+00	2.0541518e-01
7.3244746e+08	1.5398928e+00	2.0493979e-01
7.3244799e+08	1.5399933e+00	2.0488738e-01
7.3244853e+08	1.5398852e+00	2.0431610e-01
7.3244906e+08	1.5403240e+00	2.0389831e-01
7.3244959e+08	1.5398620e+00	2.0346914e-01
7.3245013e+08	1.5400947e+00	2.0332393e-01
7.3245066e+08	1.5399161e+00	2.0269556e-01
7.3245119e+08	1.5403575e+00	2.0247245e-01
