# Source ADC	Temp 180.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0415000e+08	5.4121053e-01	-1.5172155e+00
7.0415053e+08	5.4127353e-01	-1.5170271e+00
7.0415107e+08	5.4073710e-01	-1.5171793e+00
7.0415160e+08	5.4053486e-01	-1.5172988e+00
7.0415213e+08	5.3994204e-01	-1.5175617e+00
7.0415267e+08	5.3942916e-01	-1.5173045e+00
7.0415320e+08	5.3943999e-01	-1.5175467e+00
7.0415373e+08	5.3896424e-01	-1.5177296e+00
7.0415427e+08	5.3889172e-01	-1.5173746e+00
7.0415480e+08	5.3831140e-01	-1.5184164e+00
7.0415533e+08	5.3830266e-01	-1.5182387e+00
7.0415587e+08	5.3773803e-01	-1.5179450e+00
7.0415640e+08	5.3727601e-01	-1.5182520e+00
7.0415693e+08	5.3707583e-01	-1.5178439e+00
7.0415747e+08	5.3655431e-01	-1.5184665e+00
7.0415800e+08	5.3646987e-01	-1.5185205e+00
7.0415853e+08	5.3615764e-01	-1.5189514e+00
7.0415907e+08	5.3605888e-01	-1.5187831e+00
7.0415960e+08	5.3548140e-01	-1.5186477e+00
7.0416013e+08	5.3511177e-01	-1.5188528e+00
7.0416067e+08	5.3512793e-01	-1.5192870e+00
7.0416120e+08	5.3454242e-01	-1.5194094e+00
7.0416173e+08	5.3414673e-01	-1.5194599e+00
7.0416227e+08	5.3376796e-01	-1.5195422e+00
7.0416280e+08	5.3364495e-01	-1.5197398e+00
7.0416333e+08	5.3326497e-01	-1.5196078e+00
7.0416386e+08	5.3298809e-01	-1.5196824e+00
7.0416440e+08	5.3260557e-01	-1.5200298e+00
7.0416493e+08	5.3234799e-01	-1.5202665e+00
7.0416546e+08	5.3227757e-01	-1.5203228e+00
7.0416600e+08	5.3153066e-01	-1.5200584e+00
7.0416653e+08	5.3124865e-01	-1.5204158e+00
7.0416706e+08	5.3089754e-01	-1.5203933e+00
7.0416760e+08	5.3073382e-01	-1.5203544e+00
7.0416813e+08	5.3021003e-01	-1.5206461e+00
7.0416866e+08	5.3003267e-01	-1.5209039e+00
7.0416920e+08	5.2978485e-01	-1.5206559e+00
7.0416973e+08	5.2959140e-01	-1.5212070e+00
7.0417026e+08	5.2923446e-01	-1.5213454e+00
7.0417080e+08	5.2897398e-01	-1.5211437e+00
7.0417133e+08	5.2871876e-01	-1.5215596e+00
7.0417186e+08	5.2796033e-01	-1.5215229e+00
7.0417240e+08	5.2773069e-01	-1.5218745e+00
7.0417293e+08	5.2730437e-01	-1.5216806e+00
7.0417346e+08	5.2738426e-01	-1.5217538e+00
7.0417400e+08	5.2676550e-01	-1.5217685e+00
7.0417453e+08	5.2643093e-01	-1.5219489e+00
7.0417506e+08	5.2654071e-01	-1.5223195e+00
