# Source ADC	Temp 240.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0320000e+08	1.0573008e+00	-1.2256964e+00
7.0320053e+08	1.0569589e+00	-1.2260591e+00
7.0320107e+08	1.0565610e+00	-1.2263573e+00
7.0320160e+08	1.0566118e+00	-1.2264548e+00
7.0320213e+08	1.0560868e+00	-1.2269282e+00
7.0320267e+08	1.0561654e+00	-1.2269423e+00
7.0320320e+08	1.0558401e+00	-1.2272099e+00
7.0320373e+08	1.0553013e+00	-1.2271447e+00
7.0320427e+08	1.0552430e+00	-1.2274590e+00
7.0320480e+08	1.0546771e+00	-1.2277208e+00
7.0320533e+08	1.0547071e+00	-1.2277834e+00
7.0320587e+08	1.0543481e+00	-1.2280340e+00
7.0320640e+08	1.0539564e+00	-1.2284477e+00
7.0320693e+08	1.0538354e+00	-1.2286017e+00
7.0320747e+08	1.0534615e+00	-1.2286810e+00
7.0320800e+08	1.0530832e+00	-1.2290323e+00
7.0320853e+08	1.0527249e+00	-1.2295321e+00
7.0320907e+08	1.0526676e+00	-1.2295331e+00
7.0320960e+08	1.0525681e+00	-1.2295595e+00
7.0321013e+08	1.0525070e+00	-1.2303218e+00
7.0321067e+08	1.0521033e+00	-1.2303326e+00
7.0321120e+08	1.0518472e+00	-1.2306491e+00
7.0321173e+08	1.0515222e+00	-1.2309390e+00
7.0321227e+08	1.0513357e+00	-1.2305264e+00
7.0321280e+08	1.0508234e+00	-1.2314550e+00
7.0321333e+08	1.0504827e+00	-1.2310300e+00
7.0321386e+08	1.0503386e+00	-1.2316854e+00
7.0321440e+08	1.0501549e+00	-1.2318251e+00
7.0321493e+08	1.0500305e+00	-1.2316459e+00
7.0321546e+08	1.0500307e+00	-1.2322237e+00
7.0321600e+08	1.0493892e+00	-1.2323329e+00
7.0321653e+08	1.0491535e+00	-1.2327532e+00
7.0321706e+08	1.0489681e+00	-1.2329828e+00
7.0321760e+08	1.0485891e+00	-1.2330943e+00
7.0321813e+08	1.0483519e+00	-1.2334074e+00
7.0321866e+08	1.0483438e+00	-1.2334825e+00
7.0321920e+08	1.0481706e+00	-1.2337250e+00
