# Source ADC	Temp 230.0 mK	PDUT -84.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER3	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 30.25 dB	AttVIQ 12201130093 31.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.3125000e+08	1.2724242e+00	9.1288869e-01
7.3125053e+08	1.2723902e+00	9.1291005e-01
7.3125107e+08	1.2729446e+00	9.1236316e-01
7.3125160e+08	1.2733589e+00	9.1212276e-01
7.3125213e+08	1.2733502e+00	9.1153164e-01
7.3125267e+08	1.2734649e+00	9.1108915e-01
7.3125320e+08	1.2738754e+00	9.1122907e-01
7.3125373e+08	1.2737980e+00	9.1061221e-01
7.3125427e+08	1.2744937e+00	9.1041745e-01
7.3125480e+08	1.2745659e+00	9.1023635e-01
7.3125533e+08	1.2746987e+00	9.0978384e-01
7.3125587e+08	1.2751420e+00	9.0950462e-01
7.3125640e+08	1.2751566e+00	9.0914606e-01
7.3125693e+08	1.2755051e+00	9.0847236e-01
7.3125747e+08	1.2754269e+00	9.0795050e-01
7.3125800e+08	1.2758693e+00	9.0795356e-01
7.3125853e+08	1.2760261e+00	9.0758620e-01
7.3125907e+08	1.2763490e+00	9.0721753e-01
7.3125960e+08	1.2765389e+00	9.0693418e-01
7.3126013e+08	1.2769801e+00	9.0681848e-01
7.3126067e+08	1.2770016e+00	9.0659266e-01
7.3126120e+08	1.2770843e+00	9.0626001e-01
7.3126173e+08	1.2775252e+00	9.0566214e-01
7.3126227e+08	1.2774952e+00	9.0546477e-01
7.3126280e+08	1.2778787e+00	9.0532733e-01
7.3126333e+08	1.2782668e+00	9.0492247e-01
7.3126386e+08	1.2783287e+00	9.0421868e-01
7.3126440e+08	1.2785324e+00	9.0408259e-01
7.3126493e+08	1.2788818e+00	9.0380033e-01
7.3126546e+08	1.2790598e+00	9.0356786e-01
7.3126600e+08	1.2794504e+00	9.0312339e-01
7.3126653e+08	1.2796013e+00	9.0257818e-01
7.3126706e+08	1.2796711e+00	9.0250984e-01
7.3126760e+08	1.2796111e+00	9.0207668e-01
7.3126813e+08	1.2801374e+00	9.0193869e-01
7.3126866e+08	1.2802358e+00	9.0164593e-01
7.3126920e+08	1.2805251e+00	9.0142778e-01
7.3126973e+08	1.2808637e+00	9.0080129e-01
7.3127026e+08	1.2813162e+00	9.0042805e-01
7.3127080e+08	1.2808240e+00	9.0032036e-01
7.3127133e+08	1.2811550e+00	9.0006078e-01
7.3127186e+08	1.2811955e+00	8.9918241e-01
7.3127240e+08	1.2818346e+00	8.9925267e-01
7.3127293e+08	1.2819342e+00	8.9921576e-01
7.3127346e+08	1.2820094e+00	8.9847593e-01
7.3127400e+08	1.2823122e+00	8.9810614e-01
7.3127453e+08	1.2824783e+00	8.9799927e-01
7.3127506e+08	1.2828228e+00	8.9750633e-01
