# Source ADC	Temp 110.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0415000e+08	5.3783526e-01	-1.5018722e+00
7.0415053e+08	5.3714078e-01	-1.5020909e+00
7.0415107e+08	5.3695949e-01	-1.5020878e+00
7.0415160e+08	5.3661009e-01	-1.5019956e+00
7.0415213e+08	5.3628268e-01	-1.5022667e+00
7.0415267e+08	5.3589376e-01	-1.5025117e+00
7.0415320e+08	5.3545902e-01	-1.5024485e+00
7.0415373e+08	5.3533800e-01	-1.5029920e+00
7.0415427e+08	5.3532640e-01	-1.5029214e+00
7.0415480e+08	5.3482920e-01	-1.5027750e+00
7.0415533e+08	5.3436543e-01	-1.5028032e+00
7.0415587e+08	5.3428941e-01	-1.5031044e+00
7.0415640e+08	5.3407197e-01	-1.5032649e+00
7.0415693e+08	5.3323179e-01	-1.5035527e+00
7.0415747e+08	5.3324515e-01	-1.5032299e+00
7.0415800e+08	5.3299420e-01	-1.5037832e+00
7.0415853e+08	5.3231903e-01	-1.5035491e+00
7.0415907e+08	5.3209948e-01	-1.5037699e+00
7.0415960e+08	5.3196098e-01	-1.5039784e+00
7.0416013e+08	5.3139149e-01	-1.5039072e+00
7.0416067e+08	5.3124577e-01	-1.5040795e+00
7.0416120e+08	5.3070214e-01	-1.5040262e+00
7.0416173e+08	5.3068261e-01	-1.5041684e+00
7.0416227e+08	5.3007717e-01	-1.5043839e+00
7.0416280e+08	5.3005520e-01	-1.5044710e+00
7.0416333e+08	5.2953813e-01	-1.5048908e+00
7.0416386e+08	5.2911913e-01	-1.5046545e+00
7.0416440e+08	5.2882516e-01	-1.5048059e+00
7.0416493e+08	5.2869821e-01	-1.5050928e+00
7.0416546e+08	5.2825847e-01	-1.5047368e+00
7.0416600e+08	5.2811969e-01	-1.5052535e+00
7.0416653e+08	5.2775489e-01	-1.5050084e+00
7.0416706e+08	5.2736793e-01	-1.5051950e+00
7.0416760e+08	5.2721709e-01	-1.5056014e+00
7.0416813e+08	5.2691956e-01	-1.5056904e+00
7.0416866e+08	5.2644639e-01	-1.5060434e+00
7.0416920e+08	5.2629005e-01	-1.5057920e+00
7.0416973e+08	5.2586767e-01	-1.5060170e+00
7.0417026e+08	5.2537460e-01	-1.5063164e+00
7.0417080e+08	5.2526041e-01	-1.5064489e+00
7.0417133e+08	5.2483719e-01	-1.5062461e+00
7.0417186e+08	5.2449654e-01	-1.5063539e+00
7.0417240e+08	5.2409718e-01	-1.5062758e+00
7.0417293e+08	5.2421781e-01	-1.5066173e+00
