# Source ADC	Temp 60.0 mK	PDUT -84.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER3	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 30.25 dB	AttVIQ 12201130093 31.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.3240000e+08	1.5133668e+00	2.3638621e-01
7.3240053e+08	1.5137489e+00	2.3582320e-01
7.3240107e+08	1.5136361e+00	2.3538147e-01
7.3240160e+08	1.5136711e+00	2.3526956e-01
7.3240213e+08	1.5136530e+00	2.3467416e-01
7.3240267e+08	1.5137702e+00	2.3455144e-01
7.3240320e+08	1.5137353e+00	2.3428565e-01
7.3240373e+08	1.5138065e+00	2.3359122e-01
7.3240427e+08	1.5139303e+00	2.3324896e-01
7.3240480e+08	1.5136051e+00	2.3270257e-01
7.3240533e+08	1.5138925e+00	2.3268171e-01
7.3240587e+08	1.5142908e+00	2.3199358e-01
7.3240640e+08	1.5135917e+00	2.3189505e-01
7.3240693e+08	1.5144734e+00	2.3156845e-01
7.3240747e+08	1.5141300e+00	2.3135967e-01
7.3240800e+08	1.5142473e+00	2.3045865e-01
7.3240853e+08	1.5143089e+00	2.3037867e-01
7.3240907e+08	1.5141992e+00	2.2965051e-01
7.3240960e+08	1.5143877e+00	2.2947218e-01
7.3241013e+08	1.5144626e+00	2.2905948e-01
7.3241067e+08	1.5144363e+00	2.2874356e-01
7.3241120e+08	1.5146014e+00	2.2850517e-01
7.3241173e+08	1.5141714e+00	2.2800547e-01
7.3241227e+08	1.5145826e+00	2.2747630e-01
7.3241280e+08	1.5145953e+00	2.2769331e-01
7.3241333e+08	1.5145247e+00	2.2696257e-01
7.3241386e+08	1.5145942e+00	2.2667371e-01
7.3241440e+08	1.5145044e+00	2.2613908e-01
7.3241493e+08	1.5148291e+00	2.2589876e-01
7.3241546e+08	1.5147378e+00	2.2555616e-01
7.3241600e+08	1.5148341e+00	2.2548018e-01
7.3241653e+08	1.5151224e+00	2.2491111e-01
7.3241706e+08	1.5148951e+00	2.2448112e-01
7.3241760e+08	1.5146956e+00	2.2421281e-01
7.3241813e+08	1.5149408e+00	2.2369310e-01
7.3241866e+08	1.5151974e+00	2.2341586e-01
7.3241920e+08	1.5151369e+00	2.2317195e-01
7.3241973e+08	1.5145854e+00	2.2277997e-01
7.3242026e+08	1.5147779e+00	2.2223775e-01
7.3242080e+08	1.5149424e+00	2.2187671e-01
7.3242133e+08	1.5149355e+00	2.2172419e-01
7.3242186e+08	1.5149670e+00	2.2134199e-01
7.3242240e+08	1.5150711e+00	2.2080936e-01
7.3242293e+08	1.5154910e+00	2.2057973e-01
7.3242346e+08	1.5153472e+00	2.2021403e-01
7.3242400e+08	1.5151763e+00	2.1973889e-01
7.3242453e+08	1.5154828e+00	2.1951776e-01
7.3242506e+08	1.5155079e+00	2.1898174e-01
7.3242560e+08	1.5152570e+00	2.1871148e-01
7.3242613e+08	1.5152349e+00	2.1810013e-01
7.3242666e+08	1.5155373e+00	2.1781137e-01
7.3242720e+08	1.5154455e+00	2.1765194e-01
7.3242773e+08	1.5154617e+00	2.1695784e-01
7.3242826e+08	1.5158194e+00	2.1681011e-01
7.3242880e+08	1.5156375e+00	2.1646977e-01
7.3242933e+08	1.5155673e+00	2.1577938e-01
7.3242986e+08	1.5152467e+00	2.1558142e-01
7.3243040e+08	1.5157112e+00	2.1539451e-01
7.3243093e+08	1.5159619e+00	2.1490900e-01
7.3243146e+08	1.5155541e+00	2.1435750e-01
7.3243200e+08	1.5156574e+00	2.1404143e-01
