# Source ADC	Temp 140.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0415000e+08	5.4149637e-01	-1.5086293e+00
7.0415053e+08	5.4137813e-01	-1.5085519e+00
7.0415107e+08	5.4095661e-01	-1.5086210e+00
7.0415160e+08	5.4080147e-01	-1.5090692e+00
7.0415213e+08	5.4010003e-01	-1.5088665e+00
7.0415267e+08	5.3998326e-01	-1.5091043e+00
7.0415320e+08	5.3962832e-01	-1.5093697e+00
7.0415373e+08	5.3957651e-01	-1.5093309e+00
7.0415427e+08	5.3865176e-01	-1.5095603e+00
7.0415480e+08	5.3848680e-01	-1.5093783e+00
7.0415533e+08	5.3825256e-01	-1.5098866e+00
7.0415587e+08	5.3809881e-01	-1.5098567e+00
7.0415640e+08	5.3786526e-01	-1.5100550e+00
7.0415693e+08	5.3754480e-01	-1.5100640e+00
7.0415747e+08	5.3717838e-01	-1.5100646e+00
7.0415800e+08	5.3677435e-01	-1.5101385e+00
7.0415853e+08	5.3655954e-01	-1.5106007e+00
7.0415907e+08	5.3588319e-01	-1.5108136e+00
7.0415960e+08	5.3619825e-01	-1.5104586e+00
7.0416013e+08	5.3571110e-01	-1.5108168e+00
7.0416067e+08	5.3499643e-01	-1.5109103e+00
7.0416120e+08	5.3483411e-01	-1.5109351e+00
7.0416173e+08	5.3465068e-01	-1.5111046e+00
7.0416227e+08	5.3421850e-01	-1.5112779e+00
7.0416280e+08	5.3388137e-01	-1.5114807e+00
7.0416333e+08	5.3364458e-01	-1.5114231e+00
7.0416386e+08	5.3358896e-01	-1.5116236e+00
7.0416440e+08	5.3320688e-01	-1.5117151e+00
7.0416493e+08	5.3261166e-01	-1.5118888e+00
7.0416546e+08	5.3242042e-01	-1.5115825e+00
7.0416600e+08	5.3180197e-01	-1.5122664e+00
7.0416653e+08	5.3176513e-01	-1.5122996e+00
7.0416706e+08	5.3159747e-01	-1.5123492e+00
7.0416760e+08	5.3101058e-01	-1.5122510e+00
7.0416813e+08	5.3069346e-01	-1.5124581e+00
7.0416866e+08	5.3056313e-01	-1.5127392e+00
7.0416920e+08	5.3027954e-01	-1.5128410e+00
7.0416973e+08	5.2965514e-01	-1.5127926e+00
7.0417026e+08	5.2945905e-01	-1.5129834e+00
7.0417080e+08	5.2895922e-01	-1.5131574e+00
7.0417133e+08	5.2885496e-01	-1.5131648e+00
7.0417186e+08	5.2892555e-01	-1.5131559e+00
7.0417240e+08	5.2815885e-01	-1.5135910e+00
7.0417293e+08	5.2801972e-01	-1.5132781e+00
7.0417346e+08	5.2746055e-01	-1.5133637e+00
7.0417400e+08	5.2710156e-01	-1.5138824e+00
7.0417453e+08	5.2678460e-01	-1.5136443e+00
7.0417506e+08	5.2657275e-01	-1.5140009e+00
7.0417560e+08	5.2599957e-01	-1.5140950e+00
7.0417613e+08	5.2630497e-01	-1.5144086e+00
7.0417666e+08	5.2575298e-01	-1.5143542e+00
7.0417720e+08	5.2544103e-01	-1.5143934e+00
7.0417773e+08	5.2526839e-01	-1.5140761e+00
7.0417826e+08	5.2454769e-01	-1.5144089e+00
7.0417880e+08	5.2459961e-01	-1.5145317e+00
7.0417933e+08	5.2396204e-01	-1.5148932e+00
7.0417986e+08	5.2386249e-01	-1.5147001e+00
7.0418040e+08	5.2382475e-01	-1.5148289e+00
7.0418093e+08	5.2329954e-01	-1.5150974e+00
7.0418146e+08	5.2284032e-01	-1.5149929e+00
7.0418200e+08	5.2226379e-01	-1.5152065e+00
7.0418253e+08	5.2196379e-01	-1.5153365e+00
7.0418306e+08	5.2189613e-01	-1.5154700e+00
7.0418360e+08	5.2152226e-01	-1.5157776e+00
7.0418413e+08	5.2130820e-01	-1.5156464e+00
7.0418466e+08	5.2075091e-01	-1.5157013e+00
7.0418520e+08	5.2062099e-01	-1.5158910e+00
7.0418573e+08	5.2025713e-01	-1.5163021e+00
7.0418626e+08	5.1971483e-01	-1.5160388e+00
7.0418680e+08	5.1953590e-01	-1.5161853e+00
7.0418733e+08	5.1955999e-01	-1.5164582e+00
7.0418786e+08	5.1891241e-01	-1.5163406e+00
7.0418839e+08	5.1868247e-01	-1.5164812e+00
7.0418893e+08	5.1818570e-01	-1.5169500e+00
7.0418946e+08	5.1788852e-01	-1.5165055e+00
7.0418999e+08	5.1748322e-01	-1.5167745e+00
7.0419053e+08	5.1743865e-01	-1.5169288e+00
7.0419106e+08	5.1695805e-01	-1.5168858e+00
7.0419159e+08	5.1674318e-01	-1.5170488e+00
7.0419213e+08	5.1653785e-01	-1.5172335e+00
7.0419266e+08	5.1607577e-01	-1.5175923e+00
7.0419319e+08	5.1564039e-01	-1.5176107e+00
7.0419373e+08	5.1599013e-01	-1.5178244e+00
7.0419426e+08	5.1529625e-01	-1.5180746e+00
7.0419479e+08	5.1510960e-01	-1.5178104e+00
7.0419533e+08	5.1434995e-01	-1.5180272e+00
7.0419586e+08	5.1423831e-01	-1.5181704e+00
7.0419639e+08	5.1379139e-01	-1.5178850e+00
7.0419693e+08	5.1365484e-01	-1.5182835e+00
7.0419746e+08	5.1326002e-01	-1.5183079e+00
7.0419799e+08	5.1287204e-01	-1.5184997e+00
7.0419853e+08	5.1285355e-01	-1.5188781e+00
7.0419906e+08	5.1246648e-01	-1.5190732e+00
7.0419959e+08	5.1218294e-01	-1.5184304e+00
7.0420013e+08	5.1198642e-01	-1.5191174e+00
7.0420066e+08	5.1149320e-01	-1.5191642e+00
7.0420119e+08	5.1078827e-01	-1.5191863e+00
7.0420173e+08	5.1070309e-01	-1.5193439e+00
7.0420226e+08	5.1015691e-01	-1.5193127e+00
7.0420279e+08	5.0985938e-01	-1.5196810e+00
7.0420333e+08	5.0980094e-01	-1.5197903e+00
7.0420386e+08	5.0944416e-01	-1.5195708e+00
7.0420439e+08	5.0899946e-01	-1.5200087e+00
7.0420493e+08	5.0888494e-01	-1.5198089e+00
7.0420546e+08	5.0860430e-01	-1.5201520e+00
7.0420599e+08	5.0807586e-01	-1.5200209e+00
7.0420653e+08	5.0799488e-01	-1.5200585e+00
7.0420706e+08	5.0750753e-01	-1.5205673e+00
