# Source ADC	Temp 210.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0340000e+08	9.6032348e-01	-1.2980472e+00
7.0340053e+08	9.6026760e-01	-1.2984229e+00
7.0340107e+08	9.6004308e-01	-1.2980463e+00
7.0340160e+08	9.5967984e-01	-1.2987804e+00
7.0340213e+08	9.5939356e-01	-1.2984707e+00
7.0340267e+08	9.5908318e-01	-1.2988988e+00
7.0340320e+08	9.5837997e-01	-1.2991175e+00
7.0340373e+08	9.5838575e-01	-1.2993412e+00
7.0340427e+08	9.5819022e-01	-1.2997393e+00
7.0340480e+08	9.5762620e-01	-1.2996166e+00
7.0340533e+08	9.5764544e-01	-1.2999411e+00
7.0340587e+08	9.5735198e-01	-1.3002289e+00
7.0340640e+08	9.5728217e-01	-1.3005301e+00
7.0340693e+08	9.5697080e-01	-1.3005067e+00
7.0340747e+08	9.5647515e-01	-1.3007917e+00
7.0340800e+08	9.5612225e-01	-1.3007304e+00
7.0340853e+08	9.5610596e-01	-1.3015815e+00
7.0340907e+08	9.5584821e-01	-1.3013050e+00
7.0340960e+08	9.5561762e-01	-1.3015326e+00
7.0341013e+08	9.5505424e-01	-1.3017582e+00
7.0341067e+08	9.5500988e-01	-1.3018547e+00
7.0341120e+08	9.5436252e-01	-1.3020458e+00
7.0341173e+08	9.5459882e-01	-1.3024276e+00
7.0341227e+08	9.5399027e-01	-1.3027429e+00
7.0341280e+08	9.5377784e-01	-1.3027719e+00
7.0341333e+08	9.5374346e-01	-1.3028740e+00
7.0341386e+08	9.5320429e-01	-1.3030286e+00
7.0341440e+08	9.5299050e-01	-1.3032090e+00
7.0341493e+08	9.5288411e-01	-1.3035794e+00
7.0341546e+08	9.5273657e-01	-1.3038846e+00
7.0341600e+08	9.5214701e-01	-1.3042283e+00
7.0341653e+08	9.5183488e-01	-1.3041976e+00
7.0341706e+08	9.5192013e-01	-1.3040748e+00
7.0341760e+08	9.5162514e-01	-1.3045605e+00
7.0341813e+08	9.5085120e-01	-1.3044435e+00
7.0341866e+08	9.5058521e-01	-1.3049442e+00
7.0341920e+08	9.5100430e-01	-1.3052815e+00
7.0341973e+08	9.5027007e-01	-1.3053944e+00
7.0342026e+08	9.5003707e-01	-1.3056617e+00
7.0342080e+08	9.4998461e-01	-1.3058231e+00
7.0342133e+08	9.4958957e-01	-1.3058716e+00
7.0342186e+08	9.4922567e-01	-1.3062072e+00
7.0342240e+08	9.4887194e-01	-1.3062886e+00
7.0342293e+08	9.4865672e-01	-1.3065923e+00
7.0342346e+08	9.4843693e-01	-1.3067766e+00
7.0342400e+08	9.4830378e-01	-1.3068277e+00
7.0342453e+08	9.4782073e-01	-1.3072176e+00
7.0342506e+08	9.4741961e-01	-1.3072402e+00
7.0342560e+08	9.4731630e-01	-1.3073825e+00
7.0342613e+08	9.4693192e-01	-1.3077988e+00
7.0342666e+08	9.4674872e-01	-1.3078911e+00
7.0342720e+08	9.4638519e-01	-1.3081272e+00
7.0342773e+08	9.4604147e-01	-1.3084499e+00
7.0342826e+08	9.4585100e-01	-1.3085258e+00
7.0342880e+08	9.4576498e-01	-1.3088003e+00
7.0342933e+08	9.4552167e-01	-1.3090327e+00
7.0342986e+08	9.4515300e-01	-1.3090462e+00
7.0343040e+08	9.4489814e-01	-1.3093846e+00
7.0343093e+08	9.4449823e-01	-1.3094302e+00
7.0343146e+08	9.4435031e-01	-1.3096952e+00
7.0343200e+08	9.4400206e-01	-1.3100951e+00
7.0343253e+08	9.4364250e-01	-1.3100086e+00
7.0343306e+08	9.4350273e-01	-1.3104756e+00
7.0343360e+08	9.4286224e-01	-1.3104282e+00
7.0343413e+08	9.4272582e-01	-1.3106468e+00
7.0343466e+08	9.4249676e-01	-1.3106879e+00
7.0343520e+08	9.4225386e-01	-1.3110798e+00
7.0343573e+08	9.4188090e-01	-1.3110334e+00
7.0343626e+08	9.4173018e-01	-1.3113614e+00
7.0343680e+08	9.4166836e-01	-1.3120091e+00
7.0343733e+08	9.4100844e-01	-1.3118214e+00
7.0343786e+08	9.4110344e-01	-1.3121294e+00
7.0343839e+08	9.4075008e-01	-1.3122228e+00
7.0343893e+08	9.4059440e-01	-1.3127041e+00
7.0343946e+08	9.4008930e-01	-1.3125548e+00
7.0343999e+08	9.3959369e-01	-1.3130909e+00
7.0344053e+08	9.3957909e-01	-1.3131226e+00
7.0344106e+08	9.3926067e-01	-1.3132941e+00
7.0344159e+08	9.3931416e-01	-1.3137265e+00
7.0344213e+08	9.3902711e-01	-1.3137968e+00
7.0344266e+08	9.3869336e-01	-1.3138880e+00
7.0344319e+08	9.3805850e-01	-1.3141315e+00
7.0344373e+08	9.3787286e-01	-1.3139473e+00
7.0344426e+08	9.3778077e-01	-1.3147008e+00
7.0344479e+08	9.3731483e-01	-1.3149093e+00
7.0344533e+08	9.3724091e-01	-1.3151005e+00
7.0344586e+08	9.3668012e-01	-1.3148347e+00
7.0344639e+08	9.3664587e-01	-1.3154448e+00
7.0344693e+08	9.3628315e-01	-1.3156907e+00
7.0344746e+08	9.3597040e-01	-1.3156630e+00
7.0344799e+08	9.3605831e-01	-1.3160631e+00
7.0344853e+08	9.3551642e-01	-1.3160084e+00
7.0344906e+08	9.3533915e-01	-1.3163252e+00
7.0344959e+08	9.3483163e-01	-1.3167037e+00
7.0345013e+08	9.3483208e-01	-1.3168776e+00
7.0345066e+08	9.3443368e-01	-1.3170081e+00
7.0345119e+08	9.3421202e-01	-1.3171463e+00
7.0345173e+08	9.3385449e-01	-1.3173111e+00
7.0345226e+08	9.3359681e-01	-1.3175572e+00
7.0345279e+08	9.3347510e-01	-1.3175648e+00
7.0345333e+08	9.3295102e-01	-1.3177801e+00
7.0345386e+08	9.3231747e-01	-1.3177273e+00
7.0345439e+08	9.3223394e-01	-1.3183424e+00
7.0345493e+08	9.3212483e-01	-1.3186576e+00
7.0345546e+08	9.3204467e-01	-1.3190902e+00
7.0345599e+08	9.3167418e-01	-1.3187868e+00
7.0345653e+08	9.3148542e-01	-1.3190014e+00
7.0345706e+08	9.3089400e-01	-1.3189900e+00
7.0345759e+08	9.3076225e-01	-1.3196543e+00
7.0345813e+08	9.3053343e-01	-1.3197466e+00
7.0345866e+08	9.3035050e-01	-1.3196674e+00
7.0345919e+08	9.2987645e-01	-1.3198682e+00
7.0345973e+08	9.2985266e-01	-1.3202052e+00
7.0346026e+08	9.2936998e-01	-1.3203263e+00
7.0346079e+08	9.2920747e-01	-1.3208002e+00
7.0346133e+08	9.2901803e-01	-1.3207188e+00
7.0346186e+08	9.2848724e-01	-1.3210599e+00
7.0346239e+08	9.2836899e-01	-1.3211289e+00
7.0346292e+08	9.2817518e-01	-1.3212846e+00
7.0346346e+08	9.2782709e-01	-1.3214230e+00
7.0346399e+08	9.2750739e-01	-1.3218516e+00
7.0346452e+08	9.2719742e-01	-1.3221101e+00
7.0346506e+08	9.2678366e-01	-1.3222976e+00
7.0346559e+08	9.2678357e-01	-1.3223645e+00
7.0346612e+08	9.2608490e-01	-1.3224021e+00
7.0346666e+08	9.2586533e-01	-1.3225773e+00
7.0346719e+08	9.2613847e-01	-1.3231166e+00
7.0346772e+08	9.2526320e-01	-1.3227560e+00
7.0346826e+08	9.2559710e-01	-1.3231891e+00
7.0346879e+08	9.2481843e-01	-1.3233715e+00
7.0346932e+08	9.2493445e-01	-1.3235696e+00
7.0346986e+08	9.2466483e-01	-1.3239243e+00
7.0347039e+08	9.2413226e-01	-1.3238486e+00
7.0347092e+08	9.2406324e-01	-1.3242426e+00
7.0347146e+08	9.2392475e-01	-1.3243595e+00
7.0347199e+08	9.2316233e-01	-1.3247651e+00
7.0347252e+08	9.2328356e-01	-1.3251871e+00
7.0347306e+08	9.2257081e-01	-1.3252019e+00
7.0347359e+08	9.2275479e-01	-1.3253293e+00
7.0347412e+08	9.2202970e-01	-1.3256700e+00
7.0347466e+08	9.2203751e-01	-1.3256403e+00
7.0347519e+08	9.2201626e-01	-1.3260297e+00
7.0347572e+08	9.2169557e-01	-1.3262290e+00
7.0347626e+08	9.2128028e-01	-1.3264418e+00
7.0347679e+08	9.2113041e-01	-1.3263735e+00
7.0347732e+08	9.2046101e-01	-1.3267939e+00
7.0347786e+08	9.2028412e-01	-1.3268995e+00
7.0347839e+08	9.2021198e-01	-1.3270502e+00
7.0347892e+08	9.1997083e-01	-1.3271890e+00
7.0347946e+08	9.1956410e-01	-1.3271094e+00
7.0347999e+08	9.1923060e-01	-1.3276288e+00
7.0348052e+08	9.1908275e-01	-1.3277128e+00
7.0348106e+08	9.1834498e-01	-1.3275832e+00
7.0348159e+08	9.1852205e-01	-1.3281178e+00
7.0348212e+08	9.1792118e-01	-1.3282106e+00
7.0348266e+08	9.1789255e-01	-1.3285484e+00
7.0348319e+08	9.1743425e-01	-1.3287516e+00
7.0348372e+08	9.1724891e-01	-1.3289207e+00
7.0348426e+08	9.1677357e-01	-1.3291142e+00
7.0348479e+08	9.1668152e-01	-1.3289747e+00
7.0348532e+08	9.1631446e-01	-1.3295981e+00
7.0348586e+08	9.1611371e-01	-1.3296489e+00
7.0348639e+08	9.1575942e-01	-1.3301189e+00
7.0348692e+08	9.1512443e-01	-1.3300896e+00
7.0348746e+08	9.1531386e-01	-1.3305120e+00
7.0348799e+08	9.1496421e-01	-1.3305100e+00
7.0348852e+08	9.1464393e-01	-1.3308026e+00
7.0348905e+08	9.1455466e-01	-1.3309682e+00
7.0348959e+08	9.1406032e-01	-1.3307922e+00
7.0349012e+08	9.1378718e-01	-1.3312697e+00
7.0349065e+08	9.1342879e-01	-1.3318561e+00
7.0349119e+08	9.1359805e-01	-1.3315311e+00
7.0349172e+08	9.1321070e-01	-1.3319337e+00
7.0349225e+08	9.1288661e-01	-1.3320402e+00
7.0349279e+08	9.1199429e-01	-1.3323491e+00
7.0349332e+08	9.1202953e-01	-1.3323229e+00
7.0349385e+08	9.1206631e-01	-1.3324511e+00
7.0349439e+08	9.1155204e-01	-1.3327932e+00
7.0349492e+08	9.1129721e-01	-1.3330286e+00
7.0349545e+08	9.1153675e-01	-1.3334313e+00
7.0349599e+08	9.1092671e-01	-1.3334796e+00
7.0349652e+08	9.1067613e-01	-1.3334817e+00
7.0349705e+08	9.1023233e-01	-1.3341648e+00
7.0349759e+08	9.0994533e-01	-1.3343861e+00
