# Source ADC	Temp 220.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0340000e+08	9.6007130e-01	-1.3002219e+00
7.0340053e+08	9.5992999e-01	-1.3001761e+00
7.0340107e+08	9.5947111e-01	-1.3007340e+00
7.0340160e+08	9.5944124e-01	-1.3006752e+00
7.0340213e+08	9.5927824e-01	-1.3008063e+00
7.0340267e+08	9.5896550e-01	-1.3012066e+00
7.0340320e+08	9.5856489e-01	-1.3010617e+00
7.0340373e+08	9.5860666e-01	-1.3014732e+00
7.0340427e+08	9.5814056e-01	-1.3017439e+00
7.0340480e+08	9.5767767e-01	-1.3015406e+00
7.0340533e+08	9.5733851e-01	-1.3021857e+00
7.0340587e+08	9.5739676e-01	-1.3022892e+00
7.0340640e+08	9.5694591e-01	-1.3023516e+00
7.0340693e+08	9.5690633e-01	-1.3028078e+00
7.0340747e+08	9.5626643e-01	-1.3030716e+00
7.0340800e+08	9.5632152e-01	-1.3034489e+00
7.0340853e+08	9.5619452e-01	-1.3035072e+00
7.0340907e+08	9.5550436e-01	-1.3033208e+00
7.0340960e+08	9.5507616e-01	-1.3039662e+00
7.0341013e+08	9.5515098e-01	-1.3038575e+00
7.0341067e+08	9.5478730e-01	-1.3040765e+00
7.0341120e+08	9.5473530e-01	-1.3044477e+00
7.0341173e+08	9.5424280e-01	-1.3044757e+00
7.0341227e+08	9.5406476e-01	-1.3050231e+00
7.0341280e+08	9.5369655e-01	-1.3049739e+00
7.0341333e+08	9.5338474e-01	-1.3051552e+00
7.0341386e+08	9.5306197e-01	-1.3054790e+00
7.0341440e+08	9.5298413e-01	-1.3054155e+00
7.0341493e+08	9.5291653e-01	-1.3056102e+00
7.0341546e+08	9.5243380e-01	-1.3058712e+00
7.0341600e+08	9.5203364e-01	-1.3060767e+00
7.0341653e+08	9.5204557e-01	-1.3062294e+00
7.0341706e+08	9.5155302e-01	-1.3063239e+00
7.0341760e+08	9.5114268e-01	-1.3065318e+00
7.0341813e+08	9.5100448e-01	-1.3069550e+00
7.0341866e+08	9.5091493e-01	-1.3072591e+00
7.0341920e+08	9.5056020e-01	-1.3072350e+00
7.0341973e+08	9.5019116e-01	-1.3077168e+00
7.0342026e+08	9.4997856e-01	-1.3079233e+00
7.0342080e+08	9.4924052e-01	-1.3079039e+00
7.0342133e+08	9.4950368e-01	-1.3081767e+00
7.0342186e+08	9.4921062e-01	-1.3078897e+00
7.0342240e+08	9.4882393e-01	-1.3082661e+00
7.0342293e+08	9.4821530e-01	-1.3089224e+00
7.0342346e+08	9.4845685e-01	-1.3088767e+00
7.0342400e+08	9.4812278e-01	-1.3092679e+00
7.0342453e+08	9.4760593e-01	-1.3094447e+00
7.0342506e+08	9.4769398e-01	-1.3095734e+00
7.0342560e+08	9.4736319e-01	-1.3096838e+00
7.0342613e+08	9.4669073e-01	-1.3100799e+00
7.0342666e+08	9.4668798e-01	-1.3103919e+00
7.0342720e+08	9.4639647e-01	-1.3100842e+00
7.0342773e+08	9.4602666e-01	-1.3105792e+00
7.0342826e+08	9.4559020e-01	-1.3106803e+00
7.0342880e+08	9.4559756e-01	-1.3111879e+00
7.0342933e+08	9.4536230e-01	-1.3111825e+00
7.0342986e+08	9.4479387e-01	-1.3115077e+00
7.0343040e+08	9.4458357e-01	-1.3115930e+00
7.0343093e+08	9.4413248e-01	-1.3118617e+00
7.0343146e+08	9.4430588e-01	-1.3120147e+00
7.0343200e+08	9.4399650e-01	-1.3119191e+00
7.0343253e+08	9.4353771e-01	-1.3125436e+00
7.0343306e+08	9.4353946e-01	-1.3121536e+00
7.0343360e+08	9.4293366e-01	-1.3126541e+00
7.0343413e+08	9.4293545e-01	-1.3125833e+00
7.0343466e+08	9.4240422e-01	-1.3132483e+00
7.0343520e+08	9.4228028e-01	-1.3131494e+00
