# Source ADC	Temp 230.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0340000e+08	9.6018101e-01	-1.3018234e+00
7.0340053e+08	9.5981839e-01	-1.3022529e+00
7.0340107e+08	9.5995592e-01	-1.3023020e+00
7.0340160e+08	9.5938246e-01	-1.3024255e+00
7.0340213e+08	9.5898802e-01	-1.3028043e+00
7.0340267e+08	9.5895765e-01	-1.3028994e+00
7.0340320e+08	9.5854411e-01	-1.3031434e+00
7.0340373e+08	9.5825842e-01	-1.3034141e+00
7.0340427e+08	9.5809910e-01	-1.3033795e+00
7.0340480e+08	9.5771375e-01	-1.3035512e+00
7.0340533e+08	9.5748667e-01	-1.3039665e+00
7.0340587e+08	9.5725527e-01	-1.3044532e+00
7.0340640e+08	9.5712344e-01	-1.3043712e+00
7.0340693e+08	9.5694068e-01	-1.3044799e+00
7.0340747e+08	9.5626640e-01	-1.3046713e+00
7.0340800e+08	9.5614981e-01	-1.3048680e+00
7.0340853e+08	9.5600476e-01	-1.3056676e+00
7.0340907e+08	9.5581915e-01	-1.3054565e+00
7.0340960e+08	9.5530505e-01	-1.3055414e+00
7.0341013e+08	9.5537102e-01	-1.3060956e+00
7.0341067e+08	9.5469458e-01	-1.3062002e+00
7.0341120e+08	9.5435732e-01	-1.3064035e+00
7.0341173e+08	9.5407438e-01	-1.3065481e+00
7.0341227e+08	9.5412784e-01	-1.3065612e+00
7.0341280e+08	9.5354876e-01	-1.3067193e+00
7.0341333e+08	9.5347108e-01	-1.3070015e+00
7.0341386e+08	9.5308161e-01	-1.3073254e+00
7.0341440e+08	9.5327278e-01	-1.3075562e+00
7.0341493e+08	9.5260629e-01	-1.3075262e+00
7.0341546e+08	9.5248349e-01	-1.3081059e+00
7.0341600e+08	9.5208120e-01	-1.3081721e+00
7.0341653e+08	9.5179066e-01	-1.3079705e+00
7.0341706e+08	9.5135192e-01	-1.3084449e+00
7.0341760e+08	9.5127407e-01	-1.3089721e+00
7.0341813e+08	9.5095160e-01	-1.3089595e+00
7.0341866e+08	9.5059126e-01	-1.3090847e+00
7.0341920e+08	9.5040015e-01	-1.3093785e+00
7.0341973e+08	9.4995089e-01	-1.3095005e+00
7.0342026e+08	9.4978454e-01	-1.3097717e+00
7.0342080e+08	9.4986633e-01	-1.3099146e+00
7.0342133e+08	9.4973061e-01	-1.3101649e+00
7.0342186e+08	9.4897420e-01	-1.3102204e+00
7.0342240e+08	9.4856677e-01	-1.3103322e+00
7.0342293e+08	9.4840272e-01	-1.3107126e+00
7.0342346e+08	9.4843340e-01	-1.3107804e+00
7.0342400e+08	9.4773400e-01	-1.3112171e+00
7.0342453e+08	9.4790303e-01	-1.3113085e+00
7.0342506e+08	9.4727335e-01	-1.3113244e+00
7.0342560e+08	9.4699419e-01	-1.3116891e+00
7.0342613e+08	9.4670253e-01	-1.3118496e+00
7.0342666e+08	9.4665915e-01	-1.3121755e+00
7.0342720e+08	9.4613704e-01	-1.3120790e+00
7.0342773e+08	9.4576490e-01	-1.3121152e+00
7.0342826e+08	9.4580343e-01	-1.3129193e+00
7.0342880e+08	9.4531509e-01	-1.3130581e+00
7.0342933e+08	9.4513583e-01	-1.3128182e+00
7.0342986e+08	9.4502179e-01	-1.3135352e+00
7.0343040e+08	9.4443327e-01	-1.3134881e+00
7.0343093e+08	9.4463126e-01	-1.3136224e+00
7.0343146e+08	9.4435718e-01	-1.3139872e+00
7.0343200e+08	9.4392153e-01	-1.3138410e+00
7.0343253e+08	9.4352248e-01	-1.3143558e+00
