# Source ADC	Temp 190.0 mK	PDUT -84.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER3	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 30.25 dB	AttVIQ 12201130093 31.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.3200000e+08	1.4841810e+00	4.9473187e-01
7.3200053e+08	1.4844688e+00	4.9429080e-01
7.3200107e+08	1.4846475e+00	4.9434849e-01
7.3200160e+08	1.4851169e+00	4.9352255e-01
7.3200213e+08	1.4848204e+00	4.9323304e-01
7.3200267e+08	1.4846378e+00	4.9303251e-01
7.3200320e+08	1.4849568e+00	4.9275435e-01
7.3200373e+08	1.4850664e+00	4.9250487e-01
7.3200427e+08	1.4852033e+00	4.9198482e-01
7.3200480e+08	1.4855369e+00	4.9149051e-01
7.3200533e+08	1.4852011e+00	4.9119204e-01
7.3200587e+08	1.4853063e+00	4.9072449e-01
7.3200640e+08	1.4859064e+00	4.9037688e-01
7.3200693e+08	1.4859418e+00	4.9017789e-01
7.3200747e+08	1.4857933e+00	4.8967127e-01
7.3200800e+08	1.4861082e+00	4.8939525e-01
7.3200853e+08	1.4859300e+00	4.8903515e-01
7.3200907e+08	1.4861087e+00	4.8846359e-01
7.3200960e+08	1.4864139e+00	4.8817576e-01
7.3201013e+08	1.4863889e+00	4.8799975e-01
7.3201067e+08	1.4864069e+00	4.8735835e-01
7.3201120e+08	1.4865365e+00	4.8688694e-01
7.3201173e+08	1.4864208e+00	4.8684258e-01
7.3201227e+08	1.4868749e+00	4.8607688e-01
7.3201280e+08	1.4869194e+00	4.8621982e-01
7.3201333e+08	1.4871409e+00	4.8581503e-01
7.3201386e+08	1.4870942e+00	4.8521821e-01
7.3201440e+08	1.4871470e+00	4.8478353e-01
7.3201493e+08	1.4871977e+00	4.8469282e-01
7.3201546e+08	1.4869987e+00	4.8460429e-01
7.3201600e+08	1.4875351e+00	4.8350214e-01
7.3201653e+08	1.4875109e+00	4.8363993e-01
7.3201706e+08	1.4877644e+00	4.8303609e-01
7.3201760e+08	1.4876378e+00	4.8280360e-01
7.3201813e+08	1.4879740e+00	4.8207095e-01
7.3201866e+08	1.4878700e+00	4.8209685e-01
7.3201920e+08	1.4881230e+00	4.8136154e-01
7.3201973e+08	1.4881466e+00	4.8136068e-01
7.3202026e+08	1.4883786e+00	4.8077217e-01
7.3202080e+08	1.4885017e+00	4.8017746e-01
