# Source ADC	Temp 230.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0320000e+08	1.0582033e+00	-1.2234640e+00
7.0320053e+08	1.0583996e+00	-1.2235543e+00
7.0320107e+08	1.0579455e+00	-1.2240550e+00
7.0320160e+08	1.0577262e+00	-1.2239620e+00
7.0320213e+08	1.0573112e+00	-1.2245596e+00
7.0320267e+08	1.0572056e+00	-1.2245829e+00
7.0320320e+08	1.0567894e+00	-1.2249606e+00
7.0320373e+08	1.0565410e+00	-1.2248806e+00
7.0320427e+08	1.0564516e+00	-1.2256208e+00
7.0320480e+08	1.0562243e+00	-1.2254913e+00
7.0320533e+08	1.0558046e+00	-1.2257739e+00
7.0320587e+08	1.0556212e+00	-1.2259205e+00
7.0320640e+08	1.0553458e+00	-1.2263398e+00
7.0320693e+08	1.0552039e+00	-1.2263635e+00
7.0320747e+08	1.0549734e+00	-1.2266493e+00
7.0320800e+08	1.0548605e+00	-1.2267679e+00
7.0320853e+08	1.0539571e+00	-1.2268859e+00
7.0320907e+08	1.0540252e+00	-1.2273925e+00
7.0320960e+08	1.0535980e+00	-1.2275717e+00
7.0321013e+08	1.0537433e+00	-1.2277973e+00
7.0321067e+08	1.0530156e+00	-1.2282586e+00
7.0321120e+08	1.0529438e+00	-1.2278465e+00
7.0321173e+08	1.0530785e+00	-1.2284080e+00
7.0321227e+08	1.0523477e+00	-1.2282991e+00
7.0321280e+08	1.0523114e+00	-1.2288208e+00
7.0321333e+08	1.0520336e+00	-1.2289981e+00
7.0321386e+08	1.0514282e+00	-1.2290533e+00
7.0321440e+08	1.0516121e+00	-1.2293181e+00
7.0321493e+08	1.0512179e+00	-1.2298895e+00
7.0321546e+08	1.0509513e+00	-1.2300432e+00
7.0321600e+08	1.0505401e+00	-1.2299131e+00
7.0321653e+08	1.0504623e+00	-1.2302610e+00
7.0321706e+08	1.0503726e+00	-1.2302582e+00
7.0321760e+08	1.0501498e+00	-1.2310345e+00
7.0321813e+08	1.0498455e+00	-1.2312480e+00
7.0321866e+08	1.0495437e+00	-1.2310667e+00
7.0321920e+08	1.0491101e+00	-1.2312079e+00
7.0321973e+08	1.0490301e+00	-1.2314177e+00
7.0322026e+08	1.0487164e+00	-1.2319135e+00
7.0322080e+08	1.0484601e+00	-1.2323113e+00
7.0322133e+08	1.0482045e+00	-1.2325110e+00
7.0322186e+08	1.0478931e+00	-1.2327599e+00
7.0322240e+08	1.0478597e+00	-1.2327375e+00
7.0322293e+08	1.0476750e+00	-1.2330824e+00
7.0322346e+08	1.0472646e+00	-1.2333045e+00
7.0322400e+08	1.0470778e+00	-1.2330916e+00
7.0322453e+08	1.0464100e+00	-1.2333976e+00
7.0322506e+08	1.0463722e+00	-1.2336273e+00
7.0322560e+08	1.0461279e+00	-1.2341326e+00
7.0322613e+08	1.0459433e+00	-1.2342013e+00
7.0322666e+08	1.0454361e+00	-1.2343777e+00
7.0322720e+08	1.0452793e+00	-1.2346691e+00
7.0322773e+08	1.0452352e+00	-1.2349999e+00
7.0322826e+08	1.0446682e+00	-1.2351226e+00
7.0322880e+08	1.0446996e+00	-1.2352947e+00
7.0322933e+08	1.0442980e+00	-1.2357717e+00
7.0322986e+08	1.0440963e+00	-1.2358589e+00
7.0323040e+08	1.0438209e+00	-1.2359775e+00
7.0323093e+08	1.0435379e+00	-1.2363978e+00
7.0323146e+08	1.0433365e+00	-1.2364333e+00
7.0323200e+08	1.0429136e+00	-1.2366786e+00
7.0323253e+08	1.0427931e+00	-1.2368750e+00
7.0323306e+08	1.0425377e+00	-1.2374468e+00
7.0323360e+08	1.0422042e+00	-1.2374144e+00
7.0323413e+08	1.0418238e+00	-1.2375686e+00
7.0323466e+08	1.0416559e+00	-1.2379275e+00
7.0323520e+08	1.0415138e+00	-1.2378202e+00
7.0323573e+08	1.0408681e+00	-1.2385024e+00
7.0323626e+08	1.0411262e+00	-1.2388164e+00
7.0323680e+08	1.0406523e+00	-1.2385533e+00
7.0323733e+08	1.0403113e+00	-1.2387794e+00
7.0323786e+08	1.0400694e+00	-1.2391383e+00
7.0323839e+08	1.0403417e+00	-1.2394298e+00
7.0323893e+08	1.0396364e+00	-1.2395837e+00
7.0323946e+08	1.0397285e+00	-1.2398622e+00
7.0323999e+08	1.0391440e+00	-1.2399716e+00
7.0324053e+08	1.0387997e+00	-1.2403955e+00
7.0324106e+08	1.0386743e+00	-1.2407142e+00
7.0324159e+08	1.0383840e+00	-1.2407182e+00
7.0324213e+08	1.0381858e+00	-1.2405688e+00
7.0324266e+08	1.0379463e+00	-1.2410098e+00
7.0324319e+08	1.0374447e+00	-1.2416996e+00
7.0324373e+08	1.0372435e+00	-1.2414592e+00
7.0324426e+08	1.0366643e+00	-1.2418055e+00
7.0324479e+08	1.0368985e+00	-1.2420143e+00
7.0324533e+08	1.0364723e+00	-1.2419742e+00
7.0324586e+08	1.0362014e+00	-1.2426538e+00
7.0324639e+08	1.0358840e+00	-1.2427180e+00
7.0324693e+08	1.0356007e+00	-1.2428459e+00
7.0324746e+08	1.0354795e+00	-1.2433412e+00
7.0324799e+08	1.0350962e+00	-1.2434642e+00
7.0324853e+08	1.0353109e+00	-1.2432939e+00
7.0324906e+08	1.0347899e+00	-1.2440099e+00
7.0324959e+08	1.0344529e+00	-1.2440583e+00
7.0325013e+08	1.0341293e+00	-1.2441752e+00
7.0325066e+08	1.0341420e+00	-1.2444409e+00
7.0325119e+08	1.0337816e+00	-1.2448757e+00
7.0325173e+08	1.0336656e+00	-1.2446728e+00
7.0325226e+08	1.0330471e+00	-1.2451855e+00
7.0325279e+08	1.0332938e+00	-1.2454185e+00
7.0325333e+08	1.0322055e+00	-1.2454426e+00
7.0325386e+08	1.0323424e+00	-1.2457244e+00
7.0325439e+08	1.0321617e+00	-1.2459638e+00
7.0325493e+08	1.0319242e+00	-1.2460084e+00
7.0325546e+08	1.0315965e+00	-1.2464364e+00
7.0325599e+08	1.0313705e+00	-1.2466449e+00
7.0325653e+08	1.0310016e+00	-1.2468050e+00
7.0325706e+08	1.0311128e+00	-1.2469811e+00
7.0325759e+08	1.0306906e+00	-1.2472127e+00
7.0325813e+08	1.0302762e+00	-1.2472640e+00
7.0325866e+08	1.0300688e+00	-1.2479811e+00
7.0325919e+08	1.0296108e+00	-1.2480585e+00
7.0325973e+08	1.0296273e+00	-1.2478913e+00
