# Source ADC	Temp 190.0 mK	PDUT -86.0 dBm
# BW 1.0 Hz	rate 1.0000e+00 MHz	rang (5, 5)
# LER1	PSG 4.5	PRF 0.0
# AttVDUT 12006210005 32.25 dB	AttVIQ 12201130093 29.0 dB
# LOAtt 4.5 dB	InAtt 18.04 dB	OutAtt 7.0 dB
# LNA 40.0 dB	RTA 82.0 dB	DC 5.0
# Rigol 	ch 3	0.027 W	2.08 V	0.014 A
# Mixer	Name: polyphase	
# CLoss: -1.2	AInvalance: -0.07	IOffset: 0.0003	
# QOffset: 0.0001	PhError: -0.002	
# BBCON	Tbb 12.0 K	Success	P0.003 I1.0 D1.0
#
Freq(Hz) 	 I(V) 	 Q(V)
7.0415000e+08	5.4077091e-01	-1.5184180e+00
7.0415053e+08	5.4069914e-01	-1.5186192e+00
7.0415107e+08	5.4020837e-01	-1.5187034e+00
7.0415160e+08	5.3966982e-01	-1.5188371e+00
7.0415213e+08	5.3952729e-01	-1.5185957e+00
7.0415267e+08	5.3907356e-01	-1.5188491e+00
7.0415320e+08	5.3868277e-01	-1.5188981e+00
7.0415373e+08	5.3854523e-01	-1.5191117e+00
7.0415427e+08	5.3831993e-01	-1.5192316e+00
7.0415480e+08	5.3797925e-01	-1.5193508e+00
7.0415533e+08	5.3711208e-01	-1.5196166e+00
7.0415587e+08	5.3728075e-01	-1.5193886e+00
7.0415640e+08	5.3699898e-01	-1.5198546e+00
7.0415693e+08	5.3659386e-01	-1.5197619e+00
7.0415747e+08	5.3629129e-01	-1.5198504e+00
7.0415800e+08	5.3602934e-01	-1.5199736e+00
7.0415853e+08	5.3567277e-01	-1.5205401e+00
7.0415907e+08	5.3541797e-01	-1.5203250e+00
7.0415960e+08	5.3491213e-01	-1.5206643e+00
7.0416013e+08	5.3465389e-01	-1.5204615e+00
7.0416067e+08	5.3427370e-01	-1.5206055e+00
7.0416120e+08	5.3388726e-01	-1.5206621e+00
7.0416173e+08	5.3381265e-01	-1.5205697e+00
7.0416227e+08	5.3331070e-01	-1.5209238e+00
7.0416280e+08	5.3314530e-01	-1.5209330e+00
7.0416333e+08	5.3271265e-01	-1.5210416e+00
7.0416386e+08	5.3214705e-01	-1.5212853e+00
7.0416440e+08	5.3201872e-01	-1.5214543e+00
7.0416493e+08	5.3162948e-01	-1.5214400e+00
7.0416546e+08	5.3153184e-01	-1.5217850e+00
7.0416600e+08	5.3099978e-01	-1.5217464e+00
7.0416653e+08	5.3057845e-01	-1.5218762e+00
7.0416706e+08	5.3036358e-01	-1.5220654e+00
7.0416760e+08	5.3043008e-01	-1.5220865e+00
7.0416813e+08	5.2989264e-01	-1.5221997e+00
7.0416866e+08	5.2945627e-01	-1.5223557e+00
7.0416920e+08	5.2921202e-01	-1.5222114e+00
7.0416973e+08	5.2868049e-01	-1.5224188e+00
7.0417026e+08	5.2883403e-01	-1.5223491e+00
7.0417080e+08	5.2838344e-01	-1.5229309e+00
7.0417133e+08	5.2765961e-01	-1.5225611e+00
7.0417186e+08	5.2750686e-01	-1.5229393e+00
7.0417240e+08	5.2717208e-01	-1.5232943e+00
7.0417293e+08	5.2693107e-01	-1.5230371e+00
7.0417346e+08	5.2653720e-01	-1.5230985e+00
7.0417400e+08	5.2623700e-01	-1.5234002e+00
7.0417453e+08	5.2582800e-01	-1.5239475e+00
7.0417506e+08	5.2568840e-01	-1.5235541e+00
7.0417560e+08	5.2524634e-01	-1.5237715e+00
7.0417613e+08	5.2499327e-01	-1.5241626e+00
7.0417666e+08	5.2487095e-01	-1.5239955e+00
7.0417720e+08	5.2442264e-01	-1.5239083e+00
7.0417773e+08	5.2430414e-01	-1.5241991e+00
7.0417826e+08	5.2352133e-01	-1.5242859e+00
7.0417880e+08	5.2332703e-01	-1.5240981e+00
7.0417933e+08	5.2296421e-01	-1.5244551e+00
7.0417986e+08	5.2276137e-01	-1.5239804e+00
7.0418040e+08	5.2232113e-01	-1.5245503e+00
7.0418093e+08	5.2189314e-01	-1.5248899e+00
7.0418146e+08	5.2145741e-01	-1.5247634e+00
7.0418200e+08	5.2147686e-01	-1.5251621e+00
7.0418253e+08	5.2084315e-01	-1.5252732e+00
7.0418306e+08	5.2083922e-01	-1.5257016e+00
7.0418360e+08	5.2075861e-01	-1.5253509e+00
7.0418413e+08	5.2035669e-01	-1.5254430e+00
7.0418466e+08	5.1979161e-01	-1.5251301e+00
7.0418520e+08	5.1967971e-01	-1.5257013e+00
7.0418573e+08	5.1918565e-01	-1.5257026e+00
7.0418626e+08	5.1872472e-01	-1.5258879e+00
7.0418680e+08	5.1844845e-01	-1.5262053e+00
7.0418733e+08	5.1840868e-01	-1.5263415e+00
7.0418786e+08	5.1785766e-01	-1.5262231e+00
7.0418839e+08	5.1731710e-01	-1.5264076e+00
7.0418893e+08	5.1690281e-01	-1.5261167e+00
7.0418946e+08	5.1698759e-01	-1.5266067e+00
7.0418999e+08	5.1648220e-01	-1.5266875e+00
7.0419053e+08	5.1653776e-01	-1.5270233e+00
7.0419106e+08	5.1573131e-01	-1.5269107e+00
7.0419159e+08	5.1542121e-01	-1.5271520e+00
7.0419213e+08	5.1524991e-01	-1.5272852e+00
7.0419266e+08	5.1509342e-01	-1.5274348e+00
7.0419319e+08	5.1438287e-01	-1.5274894e+00
7.0419373e+08	5.1417666e-01	-1.5273444e+00
7.0419426e+08	5.1392872e-01	-1.5273592e+00
7.0419479e+08	5.1364281e-01	-1.5275702e+00
7.0419533e+08	5.1350044e-01	-1.5278292e+00
7.0419586e+08	5.1275615e-01	-1.5277423e+00
7.0419639e+08	5.1267861e-01	-1.5278313e+00
7.0419693e+08	5.1254450e-01	-1.5280443e+00
7.0419746e+08	5.1186085e-01	-1.5281879e+00
7.0419799e+08	5.1176746e-01	-1.5283678e+00
7.0419853e+08	5.1138727e-01	-1.5282977e+00
7.0419906e+08	5.1110536e-01	-1.5285596e+00
7.0419959e+08	5.1062417e-01	-1.5286345e+00
7.0420013e+08	5.1055945e-01	-1.5287431e+00
7.0420066e+08	5.1011825e-01	-1.5287060e+00
7.0420119e+08	5.0964450e-01	-1.5285863e+00
7.0420173e+08	5.0956125e-01	-1.5292161e+00
7.0420226e+08	5.0912973e-01	-1.5294334e+00
7.0420279e+08	5.0871589e-01	-1.5293566e+00
7.0420333e+08	5.0854385e-01	-1.5292078e+00
7.0420386e+08	5.0816029e-01	-1.5294516e+00
7.0420439e+08	5.0808965e-01	-1.5296260e+00
7.0420493e+08	5.0756820e-01	-1.5295393e+00
7.0420546e+08	5.0710466e-01	-1.5295035e+00
7.0420599e+08	5.0716621e-01	-1.5297177e+00
7.0420653e+08	5.0629453e-01	-1.5297820e+00
7.0420706e+08	5.0621985e-01	-1.5302752e+00
7.0420759e+08	5.0601936e-01	-1.5302798e+00
7.0420813e+08	5.0552581e-01	-1.5301730e+00
7.0420866e+08	5.0546334e-01	-1.5304253e+00
7.0420919e+08	5.0480716e-01	-1.5305057e+00
7.0420973e+08	5.0457366e-01	-1.5306777e+00
7.0421026e+08	5.0419367e-01	-1.5308776e+00
7.0421079e+08	5.0421878e-01	-1.5309547e+00
7.0421133e+08	5.0357374e-01	-1.5309786e+00
7.0421186e+08	5.0331542e-01	-1.5308871e+00
7.0421239e+08	5.0304602e-01	-1.5310829e+00
7.0421292e+08	5.0245272e-01	-1.5314011e+00
7.0421346e+08	5.0250976e-01	-1.5313683e+00
7.0421399e+08	5.0207581e-01	-1.5315280e+00
7.0421452e+08	5.0159686e-01	-1.5314605e+00
7.0421506e+08	5.0136103e-01	-1.5314828e+00
7.0421559e+08	5.0079073e-01	-1.5320220e+00
7.0421612e+08	5.0075239e-01	-1.5319642e+00
